timestep,demand
0,0
1,0
2,0
3,0
4,1
5,0
6,1
7,0
8,2
9,0
10,1
11,2
12,0
13,0
14,0
15,1
16,0
17,1
18,0
19,2
20,0
21,1
22,2
23,0
24,0
25,0
26,1
27,0
28,1
29,0
30,2
31,0
32,1
33,2
34,0
35,0
36,0
37,1
38,0
39,1
40,0
41,2
42,0
43,1
44,2
45,0
46,0
47,0
48,1
49,0
50,1
51,0
52,2
53,0
54,1
55,2
56,0
57,0
58,0
59,1
60,0
61,1
62,0
63,2
64,0
65,1
66,2
67,0
68,0
69,0
70,1
71,0
72,1
73,0
74,2
75,0
76,1
77,2
78,0
79,0
80,0
81,1
82,0
83,1
84,0
85,2
86,0
87,1
88,2
89,0
90,0
91,0
92,1
93,0
94,1
95,0
96,2
97,0
98,1
99,2
100,0
101,0
102,0
103,0
104,0
105,1
106,0
107,1
108,0
109,2
110,0
111,1
112,2
113,0
114,0
115,0
116,0
117,0
118,1
119,0
120,1
121,0
122,2
123,0
124,1
125,2
126,0
127,0
128,0
129,0
130,0
131,1
132,0
133,1
134,0
135,2
136,0
137,1
138,2
139,0
140,0
141,0
142,0
143,0
144,1
145,0
146,1
147,0
148,2
149,0
150,1
151,2
152,0
153,0
154,0
155,0
156,0
157,1
158,0
159,1
160,0
161,2
162,0
163,1
164,2
165,0
166,0
167,0
168,0
169,0
170,1
171,0
172,1
173,0
174,2
175,0
176,1
177,2
178,0
179,0
180,0
181,0
182,0
183,1
184,0
185,1
186,0
187,2
188,0
189,1
190,2
191,0
192,0
193,0
