timestep,demand
0,0
1,0
2,12
3,0
4,12
5,0
6,24
7,0
8,12
9,24
10,0
11,0
12,0
13,11
14,0
15,12
16,1
17,23
18,1
19,11
20,22
21,0
22,0
23,1
24,10
25,2
26,0
27,1
28,2
29,0
30,0
31,2
32,1
33,2
34,0
35,2
36,0
37,1
38,2
39,0
40,1
41,1
42,2
43,1
44,1
45,4
46,0
47,1
48,3
49,0
50,3
51,1
52,3
53,3
54,1
55,4
56,2
57,2
58,3
59,0
60,3
61,1
62,3
63,3
64,1
65,4
66,2
67,2
68,3
69,1
70,3
71,1
72,3
73,3
74,1
75,5
76,1
77,3
78,3
79,2
80,5
81,1
82,3
83,4
84,1
85,7
86,1
87,4
88,5
89,2
90,5
91,2
92,3
93,4
94,1
95,7
96,1
97,4
98,5
99,2
100,5
101,2
102,3
103,4
104,1
105,7
106,1
107,4
108,5
109,2
110,5
111,2
112,3
113,4
114,1
115,7
116,1
117,4
118,5
119,2
120,5
121,2
122,3
123,4
124,2
125,7
126,1
127,4
128,5
129,2
130,6
131,0
132,5
133,3
134,3
135,7
136,0
137,3
138,4
139,2
140,7
141,0
142,4
143,5
144,2
145,5
146,0
147,3
148,3
149,1
150,5
151,0
152,3
153,3
154,2
155,4
156,0
157,1
158,3
159,0
160,3
161,0
162,3
163,2
164,1
165,2
166,0
167,0
168,1
169,0
170,2
171,0
172,1
173,2
174,0
