timestep,demand
0,0
1,0
2,0
3,0
4,0
5,1
6,0
7,1
8,0
9,2
10,0
11,1
12,2
13,0
14,0
15,0
16,1
17,0
18,1
19,0
20,2
21,0
22,1
23,2
24,0
25,0
26,0
27,1
28,0
29,1
30,0
31,2
32,0
33,1
34,2
35,0
36,0
37,0
38,1
39,0
40,1
41,0
42,2
43,0
44,1
45,2
46,0
47,0
48,0
49,1
50,0
51,1
52,0
53,2
54,0
55,1
56,2
57,0
58,0
59,0
60,1
61,0
62,1
63,0
64,2
65,0
66,1
67,2
68,0
69,0
70,0
71,1
72,0
73,1
74,0
75,2
76,0
77,1
78,2
79,0
80,0
81,0
82,0
83,0
84,1
85,0
86,1
87,0
88,2
89,0
90,1
91,2
92,0
93,0
94,0
95,0
96,0
97,1
98,0
99,1
100,0
101,2
102,0
103,1
104,2
105,0
106,0
107,0
108,0
109,0
110,1
111,0
112,1
113,0
114,2
115,0
116,1
117,2
118,0
119,0
120,0
121,0
122,0
123,1
124,0
125,1
126,0
127,2
128,0
129,1
130,2
131,0
132,0
133,0
134,0
135,0
136,1
137,0
138,1
139,0
140,2
141,0
142,1
143,2
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,1
156,0
157,1
158,0
159,2
160,0
161,1
162,2
163,0
164,0
165,0
166,1
167,0
168,1
169,0
170,2
171,0
172,1
173,2
174,0
175,0
176,0
177,1
178,0
179,1
180,0
181,2
182,0
183,1
184,2
185,0
186,0
187,0
188,1
189,0
190,1
191,0
192,2
193,0
194,1
195,2
196,0
197,0
198,0
199,1
200,0
201,1
202,0
203,2
204,0
205,1
206,2
207,0
208,0
209,0
210,1
211,0
212,1
213,0
214,2
215,0
216,1
217,2
218,0
219,0
220,0
221,1
222,0
223,1
224,0
225,2
226,0
227,1
228,2
229,0
230,0
231,0
232,0
233,0
234,1
235,0
236,1
237,0
238,2
239,0
240,1
241,2
242,0
243,0
244,0
245,0
246,0
247,1
248,0
249,1
250,0
251,2
252,0
253,1
254,2
255,0
256,0
257,0
258,0
259,0
260,1
261,0
262,1
263,0
264,2
265,0
266,1
267,2
268,0
269,0
270,0
271,0
272,0
273,1
274,0
275,1
276,0
277,2
278,0
279,1
280,2
281,0
282,0
283,0
284,0
285,0
286,1
287,0
288,1
289,0
290,2
291,0
292,1
293,2
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,1
305,0
306,1
307,0
308,2
309,0
310,1
311,2
312,0
313,0
314,0
315,1
316,0
317,1
318,0
319,2
320,0
321,1
322,2
323,0
324,0
325,0
326,1
327,0
328,1
329,0
330,2
331,0
332,1
333,2
334,0
335,0
336,0
337,1
338,0
339,1
340,0
341,2
342,0
343,1
344,2
345,0
346,0
347,0
348,1
349,0
350,1
351,0
352,2
353,0
354,1
355,2
356,0
357,0
358,0
359,1
360,0
361,1
362,0
363,2
364,0
365,1
366,2
367,0
368,0
369,0
370,1
371,0
372,1
373,0
374,2
375,0
376,1
377,2
378,0
379,0
380,0
381,0
382,0
383,1
384,0
385,1
386,0
387,2
388,0
389,1
390,2
391,0
392,0
393,0
394,0
395,0
396,1
397,0
398,1
399,0
400,2
401,0
402,1
403,2
404,0
405,0
406,0
407,0
408,0
409,1
410,0
411,1
412,0
413,2
414,0
415,1
416,2
417,0
418,0
419,0
420,0
421,0
422,1
423,0
424,1
425,0
426,2
427,0
428,1
429,2
430,0
431,0
432,0
433,0
434,0
435,1
436,0
437,1
438,0
439,2
440,0
441,1
442,2
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,1
454,0
455,1
456,0
457,2
458,0
459,1
460,2
461,0
462,0
463,0
464,1
465,0
466,1
467,0
468,2
469,0
470,1
471,2
472,0
473,0
474,0
475,1
476,0
477,1
478,0
479,2
480,0
481,1
482,2
483,0
484,0
485,0
486,1
487,0
488,1
489,0
490,2
491,0
492,1
493,2
494,0
495,0
496,0
497,1
498,0
499,1
500,0
501,2
502,0
503,1
504,2
505,0
506,0
507,0
508,1
509,0
510,1
511,0
512,2
513,0
514,1
515,2
516,0
517,0
518,0
519,1
520,0
521,1
522,0
523,2
524,0
525,1
526,2
527,0
528,0
529,0
530,0
531,0
