timestep,demand
0,0
1,6
2,6
3,0
4,1
5,0
6,2
7,0
8,1
9,2
10,0
11,0
12,1
13,0
14,1
15,0
16,2
17,0
18,1
19,2
20,0
21,1
22,0
23,2
24,0
25,1
26,0
27,0
28,1
29,0
30,2
31,0
32,1
33,2
34,0
35,0
36,1
37,0
38,1
39,0
40,1
41,1
42,0
43,2
44,0
45,1
46,2
47,0
48,0
49,1
50,0
51,1
52,0
53,2
54,0
55,1
56,2
57,0
58,1
59,0
60,2
61,0
62,1
63,0
64,0
65,1
66,0
67,2
68,0
69,1
70,2
71,0
72,0
73,1
74,0
75,1
76,0
77,1
78,1
79,0
80,2
81,0
82,1
83,2
84,0
85,0
86,1
87,0
88,1
89,0
90,2
91,0
92,1
93,2
94,0
95,1
96,0
97,2
98,0
99,1
100,0
101,0
102,1
103,0
104,2
105,0
106,1
107,2
108,0
109,0
110,1
111,0
112,1
113,0
114,1
115,1
116,0
117,2
118,0
119,1
120,2
121,0
122,0
123,1
124,0
125,1
126,0
127,2
128,0
129,1
130,2
131,0
132,1
133,0
134,2
135,0
136,1
137,0
138,0
139,1
140,0
141,2
142,0
143,1
144,2
145,0
146,0
147,1
148,0
149,1
150,0
151,1
152,1
153,0
154,2
155,0
156,1
157,2
158,0
159,0
160,1
161,0
162,1
163,0
164,2
165,0
166,1
167,2
168,0
169,1
170,0
171,2
172,0
173,1
174,0
175,0
176,1
177,0
178,2
179,0
180,1
181,2
182,0
183,0
184,1
185,0
186,1
187,0
188,1
189,1
190,0
191,2
192,0
193,1
194,2
195,0
196,0
197,1
198,0
199,1
200,0
201,2
202,0
203,1
204,2
205,0
206,1
207,0
208,2
209,0
210,1
211,0
212,0
213,1
214,0
215,2
216,0
217,1
218,2
219,0
220,1
221,1
222,0
223,1
224,0
225,0
226,1
227,0
228,2
229,0
230,1
231,2
232,0
233,0
234,1
235,1
236,1
237,0
238,0
239,1
240,0
241,2
242,0
243,1
244,2
245,0
246,0
247,1
248,0
249,1
250,0
251,1
252,0
253,0
254,1
255,1
256,0
257,1
258,0
259,2
260,0
261,1
262,2
263,0
264,1
265,1
266,1
267,0
268,2
269,0
270,1
271,2
272,0
273,0
274,1
275,1
276,1
277,0
278,0
279,1
280,0
281,2
282,0
283,1
284,2
285,0
286,0
287,1
288,0
289,1
290,0
291,1
292,0
293,0
294,1
295,1
296,0
297,1
298,0
299,2
300,0
301,1
302,2
303,0
304,1
305,1
306,1
307,0
308,2
309,0
310,1
311,2
312,0
313,0
314,1
315,1
316,1
317,0
318,0
319,1
320,0
321,2
322,0
323,1
324,2
325,0
326,0
327,1
328,0
329,1
330,0
331,1
332,0
333,0
334,1
335,1
336,0
337,1
338,0
339,2
340,0
341,1
342,2
343,0
344,1
345,1
346,1
347,0
348,2
349,0
350,1
351,2
352,0
353,0
354,1
355,1
356,1
357,0
358,0
359,1
360,0
361,2
362,0
363,1
364,2
365,0
366,0
367,1
368,0
369,1
370,0
371,1
372,0
373,0
374,1
375,1
376,0
377,1
378,0
379,2
380,0
381,1
382,2
383,0
384,1
385,1
386,1
387,0
388,2
389,0
390,1
391,2
392,0
393,0
394,1
395,1
396,1
397,0
398,0
399,1
400,0
401,2
402,0
403,1
404,2
405,0
406,0
407,1
408,0
409,1
410,0
411,1
412,0
413,0
414,1
415,1
416,0
417,1
418,0
419,2
420,0
421,1
422,2
423,0
424,1
425,1
426,1
427,0
428,2
429,0
430,1
431,2
432,0
433,0
434,1
435,1
436,1
437,0
438,0
439,1
440,0
441,2
442,0
443,1
444,2
445,0
446,0
447,1
448,0
449,1
450,0
451,1
452,0
453,1
454,0
455,1
456,0
457,1
458,0
459,2
460,0
461,1
462,2
463,0
464,1
465,1
466,1
