timestep,demand
0,0
1,1
2,0
3,1
4,0
5,1
6,1
7,1
8,1
9,0
10,1
11,0
12,1
13,0
14,1
15,1
16,0
17,1
18,0
19,1
20,0
21,1
22,0
23,1
24,0
25,1
26,1
27,0
28,1
29,1
30,0
31,1
32,0
33,1
34,0
35,1
36,0
37,1
38,0
39,1
40,1
41,0
42,1
43,0
44,1
45,0
46,1
47,0
48,1
49,0
50,1
51,0
52,1
53,0
54,1
55,0
56,1
57,0
58,1
59,1
60,0
61,1
62,0
63,1
64,0
65,1
66,0
67,1
68,0
69,1
70,1
71,0
72,1
73,0
74,1
75,0
76,1
77,0
78,1
79,1
80,1
81,0
82,1
83,0
84,1
85,0
86,1
87,0
88,1
89,1
90,0
91,1
92,0
93,1
94,0
95,1
96,0
97,1
98,1
99,0
100,1
101,0
102,1
103,0
104,1
105,0
106,1
107,1
108,0
109,1
110,0
111,1
112,0
113,1
114,0
115,1
116,0
117,1
118,0
119,1
120,0
121,1
122,0
123,1
124,0
125,1
126,1
127,1
128,1
129,0
130,1
131,0
132,1
133,0
134,1
135,0
136,1
137,0
138,1
139,1
140,0
141,1
142,0
143,1
144,0
145,1
146,0
147,1
148,0
149,1
150,1
151,0
152,1
153,0
154,1
155,0
156,1
157,0
158,1
159,1
160,0
161,1
162,0
163,1
164,0
165,1
166,0
167,1
168,1
169,1
170,0
171,1
172,0
173,1
174,0
175,1
176,0
177,1
178,1
179,0
180,1
181,0
182,1
183,0
184,1
185,0
186,1
187,1
188,0
189,1
190,0
191,1
192,0
193,1
194,0
195,1
196,0
197,1
198,1
199,1
200,1
201,0
202,1
203,0
204,1
205,0
206,1
207,0
208,1
209,0
210,1
211,0
212,1
213,0
214,1
215,0
216,1
217,0
218,1
219,0
220,1
221,0
222,1
223,0
224,1
225,0
226,1
227,0
228,1
229,0
230,1
231,1
232,0
233,1
234,0
235,1
236,0
237,1
238,0
239,1
240,1
241,1
242,0
243,1
244,0
245,1
246,0
247,1
248,0
249,1
250,1
251,0
252,1
253,0
254,1
255,1
256,0
257,1
258,0
259,1
260,0
261,1
262,0
263,1
264,1
265,0
266,1
267,0
268,1
269,0
270,1
271,0
272,1
273,0
274,1
275,0
276,1
277,1
278,0
279,1
280,0
281,1
282,0
283,1
284,0
285,1
286,1
287,0
288,1
289,0
290,1
291,0
292,1
293,0
294,1
295,1
296,1
297,0
298,1
299,0
300,1
301,0
302,1
303,0
304,1
305,1
306,0
307,1
308,0
309,1
310,0
311,1
312,0
313,1
314,0
315,1
316,1
317,0
318,1
319,1
320,0
321,1
322,0
323,1
324,0
325,1
326,0
327,1
328,0
329,1
330,0
331,1
332,1
333,0
334,1
335,0
336,1
337,0
338,1
339,0
340,1
341,0
342,1
343,0
344,1
345,0
346,1
347,0
348,1
349,0
350,1
351,0
352,1
353,1
354,0
355,1
356,0
357,1
358,0
359,1
360,0
361,1
362,1
363,1
364,0
365,1
366,0
367,1
368,0
369,1
370,0
371,1
372,0
373,1
374,1
375,1
376,1
377,0
378,1
379,0
380,1
381,0
382,1
383,0
384,1
385,0
386,1
387,0
388,1
389,0
390,1
391,0
392,1
393,0
394,1
395,1
396,0
397,1
398,0
399,1
400,0
401,1
402,0
403,1
404,0
405,1
406,0
407,1
408,0
409,1
410,0
411,1
412,0
413,1
414,0
415,1
416,1
417,0
418,1
419,0
420,1
421,0
422,1
423,0
424,1
425,0
426,1
427,0
428,1
429,0
430,1
431,0
432,1
433,0
434,1
435,1
436,0
437,1
438,0
439,1
440,0
441,1
442,0
443,1
444,0
445,1
446,0
447,1
448,0
449,1
450,0
451,1
452,0
453,1
454,0
455,1
456,0
457,1
458,0
459,1
460,0
461,1
462,1
463,0
464,1
465,0
466,1
467,0
468,1
469,0
470,1
471,0
472,1
473,0
474,1
475,0
476,1
477,0
478,1
479,0
480,1
481,0
482,1
483,0
484,1
485,0
486,1
487,0
488,1
489,0
490,1
491,0
492,1
493,0
494,1
495,0
496,1
497,0
498,1
499,1
500,0
501,1
502,0
503,1
504,0
505,1
506,0
507,1
508,0
509,1
510,0
511,1
512,1
513,0
514,1
515,0
516,1
517,0
518,1
519,0
520,1
521,0
522,1
523,0
524,1
525,0
526,1
527,0
528,1
529,0
530,1
531,0
532,1
533,1
534,0
535,1
536,0
537,1
538,0
539,1
540,0
541,1
542,1
543,1
544,0
545,1
546,0
547,1
548,0
549,1
550,0
551,1
552,0
553,1
554,0
555,1
556,0
557,1
558,0
559,1
560,0
561,1
562,0
563,1
564,0
565,1
566,0
567,1
568,0
569,1
570,1
571,1
572,1
573,0
574,1
575,0
576,1
577,0
578,1
579,0
580,1
581,0
582,1
583,1
584,1
585,0
586,1
587,0
588,1
589,0
590,1
591,0
592,1
593,1
594,0
595,1
596,0
597,1
598,0
599,1
600,0
601,1
602,0
603,1
604,0
605,1
606,0
607,1
608,0
609,1
610,0
611,1
612,0
613,1
614,1
615,0
616,1
617,0
618,1
619,0
620,1
621,0
622,1
623,0
624,1
625,0
626,1
627,1
628,0
629,1
630,1
631,0
632,1
633,0
634,1
635,0
636,1
637,0
638,1
639,0
640,1
641,1
642,0
643,1
644,0
645,1
646,0
647,1
648,0
649,1
650,1
651,1
652,0
653,1
654,0
655,1
656,0
657,1
658,0
659,1
660,1
661,0
662,1
663,0
664,1
665,0
666,1
667,0
668,1
669,1
670,0
671,1
672,0
673,1
674,0
675,1
676,0
677,1
678,0
679,1
680,0
681,1
682,1
683,0
684,1
685,0
686,1
687,0
688,1
689,0
690,1
691,1
692,0
693,1
694,0
695,1
696,1
697,0
698,1
699,0
700,1
701,0
702,1
703,0
704,1
705,1
706,1
707,0
708,1
709,0
710,1
711,0
712,1
713,0
714,1
715,1
716,0
717,1
718,0
719,1
720,0
721,1
722,0
723,1
724,1
725,0
726,1
727,0
728,1
729,0
730,1
731,1
732,1
733,0
734,1
735,0
736,1
737,0
738,1
739,0
740,1
741,1
742,0
743,1
744,0
745,1
746,0
747,1
748,0
749,1
750,0
751,1
752,0
753,1
754,0
755,1
756,0
757,1
758,0
759,1
760,0
761,1
762,1
763,0
764,1
765,0
766,1
767,0
768,1
769,0
770,1
771,0
772,1
773,0
774,1
775,1
776,0
777,1
778,0
779,1
780,0
781,1
782,0
783,1
784,0
785,1
786,0
787,1
788,0
789,1
790,0
791,1
792,0
793,1
794,0
795,1
796,0
797,1
798,0
799,1
800,0
801,1
802,0
803,1
804,0
805,1
806,0
807,1
808,0
809,1
810,0
811,1
812,1
813,0
814,1
815,0
816,1
817,0
818,1
819,0
820,1
821,0
822,1
823,0
824,1
825,0
826,1
827,0
828,1
829,0
830,1
831,0
832,1
833,0
834,1
835,0
836,1
837,0
838,1
839,1
840,0
841,1
842,0
843,1
844,0
845,1
846,0
847,1
848,0
849,1
850,0
851,1
852,0
853,1
854,0
855,1
856,0
857,1
858,1
859,0
860,1
861,0
862,1
863,0
864,1
865,0
866,1
867,0
868,1
869,0
870,1
871,0
872,1
873,0
874,1
875,0
876,1
877,0
878,1
879,0
880,1
881,0
882,1
883,0
884,1
885,0
886,1
887,1
888,0
889,1
890,0
891,1
892,0
893,1
894,0
895,1
896,0
897,1
898,0
899,1
900,0
901,1
902,0
903,1
904,0
905,1
906,0
907,1
908,0
909,1
910,0
911,1
912,0
913,1
914,0
915,1
916,1
917,0
918,1
919,0
920,1
921,0
922,1
923,0
924,1
925,1
926,0
927,1
928,0
929,1
930,0
931,1
932,0
933,1
934,0
935,1
936,0
937,1
938,0
939,1
940,0
941,1
942,0
943,1
944,1
945,0
946,1
947,0
948,1
949,0
950,1
951,0
952,1
953,0
954,1
955,1
956,0
957,1
958,0
959,1
960,0
961,1
962,0
963,1
964,0
965,1
966,0
967,1
968,0
969,1
970,0
971,1
972,0
973,1
974,1
975,0
976,1
977,0
978,1
979,0
980,1
981,0
982,1
983,0
984,1
985,0
986,1
987,1
988,0
989,1
990,0
991,1
992,0
993,1
994,0
995,1
996,0
997,1
998,0
999,1
1000,0
1001,1
1002,1
1003,0
1004,1
1005,0
1006,1
1007,0
1008,1
1009,0
1010,1
1011,0
1012,1
1013,0
1014,1
1015,0
1016,1
1017,0
1018,1
1019,0
1020,1
1021,1
1022,0
1023,1
1024,0
1025,1
1026,0
1027,1
1028,0
1029,1
1030,1
1031,0
1032,1
1033,0
1034,1
1035,0
1036,1
1037,0
1038,1
1039,1
1040,0
1041,1
1042,0
1043,1
1044,1
1045,0
1046,1
1047,0
1048,1
1049,0
1050,1
1051,0
1052,1
1053,1
1054,0
1055,1
1056,0
1057,1
1058,0
1059,1
1060,0
