family,seed,policy,capacity_limit_mode,C,B,compressibility,compressibility_slack_ratio,compressibility_mean_t_slack,T_static,T_exe,normalized_makespan,QTV_proxy,Delta_max,Gamma
high_compressibility,1,capacity_aware_static,C,1,0,0.5665024630541872,1.0,3.9655172413793105,29,29.0,1.0,331.0,0,0
high_compressibility,1,capacity_aware_static,C,1,1,0.5665024630541872,1.0,3.9655172413793105,29,29.0,1.0,331.0,0,0
high_compressibility,1,capacity_aware_static,C,1,2,0.5665024630541872,1.0,3.9655172413793105,29,29.0,1.0,331.0,0,0
high_compressibility,1,capacity_aware_static,C,1,3,0.5665024630541872,1.0,3.9655172413793105,29,29.0,1.0,331.0,0,0
high_compressibility,1,capacity_aware_static,C,1,4,0.5665024630541872,1.0,3.9655172413793105,29,29.0,1.0,331.0,0,0
high_compressibility,1,capacity_aware_static,C,1,5,0.5665024630541872,1.0,3.9655172413793105,29,29.0,1.0,331.0,0,0
high_compressibility,1,capacity_aware_static,C,1,6,0.5665024630541872,1.0,3.9655172413793105,29,29.0,1.0,331.0,0,0
high_compressibility,1,capacity_aware_static,C,1,7,0.5665024630541872,1.0,3.9655172413793105,29,29.0,1.0,331.0,0,0
high_compressibility,1,capacity_aware_static,C,1,8,0.5665024630541872,1.0,3.9655172413793105,29,29.0,1.0,331.0,0,0
high_compressibility,1,capacity_aware_static,C,1,9,0.5665024630541872,1.0,3.9655172413793105,29,29.0,1.0,331.0,0,0
high_compressibility,1,capacity_aware_static,C,1,10,0.5665024630541872,1.0,3.9655172413793105,29,29.0,1.0,331.0,0,0
high_compressibility,1,capacity_aware_static,C,1,11,0.5665024630541872,1.0,3.9655172413793105,29,29.0,1.0,331.0,0,0
high_compressibility,1,capacity_aware_static,C,1,12,0.5665024630541872,1.0,3.9655172413793105,29,29.0,1.0,331.0,0,0
high_compressibility,1,capacity_aware_static,C,1,13,0.5665024630541872,1.0,3.9655172413793105,29,29.0,1.0,331.0,0,0
high_compressibility,1,capacity_aware_static,C,1,14,0.5665024630541872,1.0,3.9655172413793105,29,29.0,1.0,331.0,0,0
high_compressibility,1,capacity_aware_static,C,1,15,0.5665024630541872,1.0,3.9655172413793105,29,29.0,1.0,331.0,0,0
high_compressibility,1,capacity_aware_static,C,2,0,0.5665024630541872,1.0,3.9655172413793105,15,15.0,1.0,192.0,0,0
high_compressibility,1,capacity_aware_static,C,2,1,0.5665024630541872,1.0,3.9655172413793105,15,15.0,1.0,192.0,0,0
high_compressibility,1,capacity_aware_static,C,2,2,0.5665024630541872,1.0,3.9655172413793105,15,15.0,1.0,192.0,0,0
high_compressibility,1,capacity_aware_static,C,2,3,0.5665024630541872,1.0,3.9655172413793105,15,15.0,1.0,192.0,0,0
high_compressibility,1,capacity_aware_static,C,2,4,0.5665024630541872,1.0,3.9655172413793105,15,15.0,1.0,192.0,0,0
high_compressibility,1,capacity_aware_static,C,2,5,0.5665024630541872,1.0,3.9655172413793105,15,15.0,1.0,192.0,0,0
high_compressibility,1,capacity_aware_static,C,2,6,0.5665024630541872,1.0,3.9655172413793105,15,15.0,1.0,192.0,0,0
high_compressibility,1,capacity_aware_static,C,2,7,0.5665024630541872,1.0,3.9655172413793105,15,15.0,1.0,192.0,0,0
high_compressibility,1,capacity_aware_static,C,2,8,0.5665024630541872,1.0,3.9655172413793105,15,15.0,1.0,192.0,0,0
high_compressibility,1,capacity_aware_static,C,2,9,0.5665024630541872,1.0,3.9655172413793105,15,15.0,1.0,192.0,0,0
high_compressibility,1,capacity_aware_static,C,2,10,0.5665024630541872,1.0,3.9655172413793105,15,15.0,1.0,192.0,0,0
high_compressibility,1,capacity_aware_static,C,2,11,0.5665024630541872,1.0,3.9655172413793105,15,15.0,1.0,192.0,0,0
high_compressibility,1,capacity_aware_static,C,2,12,0.5665024630541872,1.0,3.9655172413793105,15,15.0,1.0,192.0,0,0
high_compressibility,1,capacity_aware_static,C,2,13,0.5665024630541872,1.0,3.9655172413793105,15,15.0,1.0,192.0,0,0
high_compressibility,1,capacity_aware_static,C,2,14,0.5665024630541872,1.0,3.9655172413793105,15,15.0,1.0,192.0,0,0
high_compressibility,1,capacity_aware_static,C,2,15,0.5665024630541872,1.0,3.9655172413793105,15,15.0,1.0,192.0,0,0
high_compressibility,1,capacity_aware_static,C,3,0,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,147.0,0,0
high_compressibility,1,capacity_aware_static,C,3,1,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,147.0,0,0
high_compressibility,1,capacity_aware_static,C,3,2,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,147.0,0,0
high_compressibility,1,capacity_aware_static,C,3,3,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,147.0,0,0
high_compressibility,1,capacity_aware_static,C,3,4,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,147.0,0,0
high_compressibility,1,capacity_aware_static,C,3,5,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,147.0,0,0
high_compressibility,1,capacity_aware_static,C,3,6,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,147.0,0,0
high_compressibility,1,capacity_aware_static,C,3,7,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,147.0,0,0
high_compressibility,1,capacity_aware_static,C,3,8,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,147.0,0,0
high_compressibility,1,capacity_aware_static,C,3,9,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,147.0,0,0
high_compressibility,1,capacity_aware_static,C,3,10,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,147.0,0,0
high_compressibility,1,capacity_aware_static,C,3,11,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,147.0,0,0
high_compressibility,1,capacity_aware_static,C,3,12,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,147.0,0,0
high_compressibility,1,capacity_aware_static,C,3,13,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,147.0,0,0
high_compressibility,1,capacity_aware_static,C,3,14,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,147.0,0,0
high_compressibility,1,capacity_aware_static,C,3,15,0.5665024630541872,1.0,3.9655172413793105,10,10.0,1.0,147.0,0,0
high_compressibility,1,capacity_aware_static,C,4,0,0.5665024630541872,1.0,3.9655172413793105,8,8.0,1.0,124.0,0,0
high_compressibility,1,capacity_aware_static,C,4,1,0.5665024630541872,1.0,3.9655172413793105,8,8.0,1.0,124.0,0,0
high_compressibility,1,capacity_aware_static,C,4,2,0.5665024630541872,1.0,3.9655172413793105,8,8.0,1.0,124.0,0,0
high_compressibility,1,capacity_aware_static,C,4,3,0.5665024630541872,1.0,3.9655172413793105,8,8.0,1.0,124.0,0,0
high_compressibility,1,capacity_aware_static,C,4,4,0.5665024630541872,1.0,3.9655172413793105,8,8.0,1.0,124.0,0,0
high_compressibility,1,capacity_aware_static,C,4,5,0.5665024630541872,1.0,3.9655172413793105,8,8.0,1.0,124.0,0,0
