trace_name,policy,trace_length,logical_qubit_budget,real_trace_compressibility,C,B,feasible,feasible_reason,T_static,T_exe,stall_cycles,stall_ratio,Delta_max,Gamma,peak_demand,mean_demand,total_T,QTV_proxy,normalized_makespan
multiplier_n4,static_min,1381,16,1.0729893953093352,1,0,0,peak_demand_exceeds_reachable_stock,1381,inf,inf,1.0,5,249,4,0.7081824764663287,978,inf,inf
multiplier_n4,static_min,1381,16,1.0729893953093352,1,1,0,peak_demand_exceeds_reachable_stock,1381,inf,inf,1.0,5,249,4,0.7081824764663287,978,inf,inf
multiplier_n4,static_min,1381,16,1.0729893953093352,1,2,0,peak_demand_exceeds_reachable_stock,1381,inf,inf,1.0,5,249,4,0.7081824764663287,978,inf,inf
multiplier_n4,static_min,1381,16,1.0729893953093352,1,3,1,feasible,1381,1390.0,9.0,0.006474820143884892,5,249,4,0.7081824764663287,978,22240.0,1.006517016654598
multiplier_n4,static_min,1381,16,1.0729893953093352,1,4,1,feasible,1381,1389.0,8.0,0.005759539236861051,5,249,4,0.7081824764663287,978,22224.0,1.005792903692976
multiplier_n4,static_min,1381,16,1.0729893953093352,1,5,1,feasible,1381,1388.0,7.0,0.005043227665706052,5,249,4,0.7081824764663287,978,22208.0,1.005068790731354
multiplier_n4,static_min,1381,16,1.0729893953093352,1,6,1,feasible,1381,1387.0,6.0,0.004325883201153569,5,249,4,0.7081824764663287,978,22192.0,1.004344677769732
multiplier_n4,static_min,1381,16,1.0729893953093352,1,7,1,feasible,1381,1386.0,5.0,0.0036075036075036075,5,249,4,0.7081824764663287,978,22176.0,1.00362056480811
multiplier_n4,static_min,1381,16,1.0729893953093352,1,8,1,feasible,1381,1386.0,5.0,0.0036075036075036075,5,249,4,0.7081824764663287,978,22176.0,1.00362056480811
multiplier_n4,static_min,1381,16,1.0729893953093352,1,9,1,feasible,1381,1386.0,5.0,0.0036075036075036075,5,249,4,0.7081824764663287,978,22176.0,1.00362056480811
multiplier_n4,static_min,1381,16,1.0729893953093352,1,10,1,feasible,1381,1386.0,5.0,0.0036075036075036075,5,249,4,0.7081824764663287,978,22176.0,1.00362056480811
multiplier_n4,static_min,1381,16,1.0729893953093352,1,11,1,feasible,1381,1386.0,5.0,0.0036075036075036075,5,249,4,0.7081824764663287,978,22176.0,1.00362056480811
multiplier_n4,static_min,1381,16,1.0729893953093352,1,12,1,feasible,1381,1386.0,5.0,0.0036075036075036075,5,249,4,0.7081824764663287,978,22176.0,1.00362056480811
multiplier_n4,static_min,1381,16,1.0729893953093352,1,13,1,feasible,1381,1386.0,5.0,0.0036075036075036075,5,249,4,0.7081824764663287,978,22176.0,1.00362056480811
multiplier_n4,static_min,1381,16,1.0729893953093352,1,14,1,feasible,1381,1386.0,5.0,0.0036075036075036075,5,249,4,0.7081824764663287,978,22176.0,1.00362056480811
multiplier_n4,static_min,1381,16,1.0729893953093352,1,15,1,feasible,1381,1386.0,5.0,0.0036075036075036075,5,249,4,0.7081824764663287,978,22176.0,1.00362056480811
multiplier_n4,static_min,1381,16,1.0729893953093352,2,0,0,peak_demand_exceeds_reachable_stock,1381,inf,inf,1.0,2,5,4,0.7081824764663287,978,inf,inf
multiplier_n4,static_min,1381,16,1.0729893953093352,2,1,0,peak_demand_exceeds_reachable_stock,1381,inf,inf,1.0,2,5,4,0.7081824764663287,978,inf,inf
multiplier_n4,static_min,1381,16,1.0729893953093352,2,2,1,feasible,1381,1382.0,1.0,0.000723589001447178,2,5,4,0.7081824764663287,978,22112.0,1.000724112961622
