trace_name,C,B,real_trace_compressibility,Delta_max_capacity_aware_static,Delta_max_smoothed,Delta_max_static_min,Gamma_capacity_aware_static,Gamma_smoothed,Gamma_static_min,QTV_proxy_capacity_aware_static,QTV_proxy_smoothed,QTV_proxy_static_min,T_exe_capacity_aware_static,T_exe_smoothed,T_exe_static_min,T_static_capacity_aware_static,T_static_smoothed,T_static_static_min,feasible_capacity_aware_static,feasible_smoothed,feasible_static_min,stall_cycles_capacity_aware_static,stall_cycles_smoothed,stall_cycles_static_min,both_feasible,inversion,T_exe_improvement,stall_reduction,relative_change_in_QTV
qft_n8,1,0,0.7440525026712468,0,303771,303771,0,347727,372461,6738720.0,inf,inf,842340.0,inf,inf,842340,549736,549736,1,0,0,0.0,inf,inf,0,0,0.0,0.0,0.0
qft_n8,1,1,0.7440525026712468,0,303771,303771,0,347727,372461,6738720.0,6998152.0,inf,842340.0,874769.0,inf,842340,549736,549736,1,1,0,0.0,325033.0,inf,0,0,0.0,0.0,0.0
qft_n8,1,2,0.7440525026712468,0,303771,303771,0,347727,372461,6738720.0,6998144.0,inf,842340.0,874768.0,inf,842340,549736,549736,1,1,0,0.0,325032.0,inf,0,0,0.0,0.0,0.0
qft_n8,1,3,0.7440525026712468,0,303771,303771,0,347727,372461,6738720.0,6998136.0,inf,842340.0,874767.0,inf,842340,549736,549736,1,1,0,0.0,325031.0,inf,0,0,0.0,0.0,0.0
qft_n8,1,4,0.7440525026712468,0,303771,303771,0,347727,372461,6738720.0,6998128.0,inf,842340.0,874766.0,inf,842340,549736,549736,1,1,0,0.0,325030.0,inf,0,0,0.0,0.0,0.0
qft_n8,1,5,0.7440525026712468,0,303771,303771,0,347727,372461,6738720.0,6998120.0,6998120.0,842340.0,874765.0,874765.0,842340,549736,549736,1,1,1,0.0,325029.0,325029.0,1,0,0.0,0.0,0.0
qft_n8,1,6,0.7440525026712468,0,303771,303771,0,347727,372461,6738720.0,6998112.0,6998112.0,842340.0,874764.0,874764.0,842340,549736,549736,1,1,1,0.0,325028.0,325028.0,1,0,0.0,0.0,0.0
qft_n8,1,7,0.7440525026712468,0,303771,303771,0,347727,372461,6738720.0,6998104.0,6998104.0,842340.0,874763.0,874763.0,842340,549736,549736,1,1,1,0.0,325027.0,325027.0,1,0,0.0,0.0,0.0
qft_n8,1,8,0.7440525026712468,0,303771,303771,0,347727,372461,6738720.0,6998096.0,6998096.0,842340.0,874762.0,874762.0,842340,549736,549736,1,1,1,0.0,325026.0,325026.0,1,0,0.0,0.0,0.0
qft_n8,1,9,0.7440525026712468,0,303771,303771,0,347727,372461,6738720.0,6998088.0,6998088.0,842340.0,874761.0,874761.0,842340,549736,549736,1,1,1,0.0,325025.0,325025.0,1,0,0.0,0.0,0.0
qft_n8,1,10,0.7440525026712468,0,303771,303771,0,347727,372461,6738720.0,6998080.0,6998080.0,842340.0,874760.0,874760.0,842340,549736,549736,1,1,1,0.0,325024.0,325024.0,1,0,0.0,0.0,0.0
qft_n8,1,11,0.7440525026712468,0,303771,303771,0,347727,372461,6738720.0,6998072.0,6998072.0,842340.0,874759.0,874759.0,842340,549736,549736,1,1,1,0.0,325023.0,325023.0,1,0,0.0,0.0,0.0
qft_n8,1,12,0.7440525026712468,0,303771,303771,0,347727,372461,6738720.0,6998064.0,6998064.0,842340.0,874758.0,874758.0,842340,549736,549736,1,1,1,0.0,325022.0,325022.0,1,0,0.0,0.0,0.0
