family,seed,policy,capacity_limit_mode,capacity_limit,C,B,feasible,feasible_reason,legacy_compressibility,slack_ratio,mean_t_slack,T_static,T_exe,stall_cycles,stall_ratio,delta_max,gamma,peak_demand,mean_demand,total_T,QTV_proxy,normalized_makespan,predicted_stall_by_delta,stall_observed,delta_reference_static_min,delta_reference_capacity_aware_static,delta_reference_smoothed
high_compressibility,7,static_min,none,0,5,0,0,peak_demand_exceeds_reachable_stock,0.4778325123152709,1.0,3.3448275862068964,8,inf,inf,1.0,3,3,6,3.625,29,inf,inf,1,1,3,0,0
high_compressibility,7,capacity_aware_static,C,5,5,0,1,feasible,0.4778325123152709,1.0,3.3448275862068964,8,8.0,0.0,0.0,0,0,5,3.625,29,116.0,1.0,0,0,3,0,0
high_compressibility,7,smoothed,none,0,5,0,1,feasible,0.4778325123152709,1.0,3.3448275862068964,10,10.0,0.0,0.0,0,0,3,2.9,29,160.0,1.0,0,0,3,0,0
high_compressibility,7,static_min,none,0,5,1,1,feasible,0.4778325123152709,1.0,3.3448275862068964,8,11.0,3.0,0.2727272727272727,3,3,6,3.625,29,154.0,1.375,1,1,3,0,0
high_compressibility,7,capacity_aware_static,C,5,5,1,1,feasible,0.4778325123152709,1.0,3.3448275862068964,8,8.0,0.0,0.0,0,0,5,3.625,29,116.0,1.0,0,0,3,0,0
high_compressibility,7,smoothed,none,0,5,1,1,feasible,0.4778325123152709,1.0,3.3448275862068964,10,10.0,0.0,0.0,0,0,3,2.9,29,160.0,1.0,0,0,3,0,0
high_compressibility,7,static_min,none,0,5,2,1,feasible,0.4778325123152709,1.0,3.3448275862068964,8,10.0,2.0,0.2,3,3,6,3.625,29,140.0,1.25,1,1,3,0,0
high_compressibility,7,capacity_aware_static,C,5,5,2,1,feasible,0.4778325123152709,1.0,3.3448275862068964,8,8.0,0.0,0.0,0,0,5,3.625,29,116.0,1.0,0,0,3,0,0
high_compressibility,7,smoothed,none,0,5,2,1,feasible,0.4778325123152709,1.0,3.3448275862068964,10,10.0,0.0,0.0,0,0,3,2.9,29,160.0,1.0,0,0,3,0,0
high_compressibility,7,static_min,none,0,5,3,1,feasible,0.4778325123152709,1.0,3.3448275862068964,8,9.0,1.0,0.1111111111111111,3,3,6,3.625,29,125.0,1.125,0,1,3,0,0
high_compressibility,7,capacity_aware_static,C,5,5,3,1,feasible,0.4778325123152709,1.0,3.3448275862068964,8,8.0,0.0,0.0,0,0,5,3.625,29,116.0,1.0,0,0,3,0,0
high_compressibility,7,smoothed,none,0,5,3,1,feasible,0.4778325123152709,1.0,3.3448275862068964,10,10.0,0.0,0.0,0,0,3,2.9,29,160.0,1.0,0,0,3,0,0
high_compressibility,7,static_min,none,0,5,4,1,feasible,0.4778325123152709,1.0,3.3448275862068964,8,9.0,1.0,0.1111111111111111,3,3,6,3.625,29,125.0,1.125,0,1,3,0,0
high_compressibility,7,capacity_aware_static,C,5,5,4,1,feasible,0.4778325123152709,1.0,3.3448275862068964,8,8.0,0.0,0.0,0,0,5,3.625,29,116.0,1.0,0,0,3,0,0
high_compressibility,7,smoothed,none,0,5,4,1,feasible,0.4778325123152709,1.0,3.3448275862068964,10,10.0,0.0,0.0,0,0,3,2.9,29,160.0,1.0,0,0,3,0,0
high_compressibility,7,static_min,none,0,5,5,1,feasible,0.4778325123152709,1.0,3.3448275862068964,8,9.0,1.0,0.1111111111111111,3,3,6,3.625,29,125.0,1.125,0,1,3,0,0
high_compressibility,7,capacity_aware_static,C,5,5,5,1,feasible,0.4778325123152709,1.0,3.3448275862068964,8,8.0,0.0,0.0,0,0,5,3.625,29,116.0,1.0,0,0,3,0,0
high_compressibility,7,smoothed,none,0,5,5,1,feasible,0.4778325123152709,1.0,3.3448275862068964,10,10.0,0.0,0.0,0,0,3,2.9,29,160.0,1.0,0,0,3,0,0
high_compressibility,7,static_min,none,0,5,6,1,feasible,0.4778325123152709,1.0,3.3448275862068964,8,9.0,1.0,0.1111111111111111,3,3,6,3.625,29,125.0,1.125,0,1,3,0,0
high_compressibility,7,capacity_aware_static,C,5,5,6,1,feasible,0.4778325123152709,1.0,3.3448275862068964,8,8.0,0.0,0.0,0,0,5,3.625,29,116.0,1.0,0,0,3,0,0
high_compressibility,7,smoothed,none,0,5,6,1,feasible,0.4778325123152709,1.0,3.3448275862068964,10,10.0,0.0,0.0,0,0,3,2.9,29,160.0,1.0,0,0,3,0,0
high_compressibility,7,static_min,none,0,5,7,1,feasible,0.4778325123152709,1.0,3.3448275862068964,8,9.0,1.0,0.1111111111111111,3,3,6,3.625,29,125.0,1.125,0,1,3,0,0
high_compressibility,7,capacity_aware_static,C,5,5,7,1,feasible,0.4778325123152709,1.0,3.3448275862068964,8,8.0,0.0,0.0,0,0,5,3.625,29,116.0,1.0,0,0,3,0,0
high_compressibility,7,smoothed,none,0,5,7,1,feasible,0.4778325123152709,1.0,3.3448275862068964,10,10.0,0.0,0.0,0,0,3,2.9,29,160.0,1.0,0,0,3,0,0
high_compressibility,7,static_min,none,0,5,8,1,feasible,0.4778325123152709,1.0,3.3448275862068964,8,9.0,1.0,0.1111111111111111,3,3,6,3.625,29,125.0,1.125,0,1,3,0,0
high_compressibility,7,capacity_aware_static,C,5,5,8,1,feasible,0.4778325123152709,1.0,3.3448275862068964,8,8.0,0.0,0.0,0,0,5,3.625,29,116.0,1.0,0,0,3,0,0
high_compressibility,7,smoothed,none,0,5,8,1,feasible,0.4778325123152709,1.0,3.3448275862068964,10,10.0,0.0,0.0,0,0,3,2.9,29,160.0,1.0,0,0,3,0,0
