family,seed,legacy_compressibility,slack_ratio,mean_t_slack,C,B,static_min_T_static,static_min_T_exe,static_min_stall_cycles,static_min_delta_max,static_min_gamma,static_min_QTV_proxy,capacity_aware_static_T_static,capacity_aware_static_T_exe,capacity_aware_static_stall_cycles,capacity_aware_static_delta_max,capacity_aware_static_gamma,capacity_aware_static_QTV_proxy,smoothed_T_static,smoothed_T_exe,smoothed_stall_cycles,smoothed_delta_max,smoothed_gamma,smoothed_QTV_proxy,both_feasible_static_min_vs_smoothed,both_feasible_capacity_aware_vs_smoothed,relative_T_exe_improvement_static_min_vs_smoothed,relative_T_exe_improvement_capacity_aware_vs_smoothed
high_compressibility,1,0.5665024630541872,1.0,3.9655172413793105,2,6,8,17.0,9.0,17,17,224.0,15,15.0,0.0,0,0,192.0,10,15.0,5.0,9,9,230.0,1,1,0.11764705882352941,0.0
high_compressibility,3,0.4778325123152709,1.0,3.3448275862068964,2,6,8,17.0,9.0,17,17,235.0,15,15.0,0.0,0,0,209.0,10,15.0,5.0,9,9,243.0,1,1,0.11764705882352941,0.0
high_compressibility,5,0.4827586206896552,1.0,3.3793103448275863,2,6,8,17.0,9.0,17,17,231.0,15,15.0,0.0,0,0,161.0,10,15.0,5.0,9,9,230.0,1,1,0.11764705882352941,0.0
high_compressibility,7,0.4778325123152709,1.0,3.3448275862068964,2,6,8,17.0,9.0,17,17,238.0,15,15.0,0.0,0,0,195.0,10,15.0,5.0,9,9,239.0,1,1,0.11764705882352941,0.0
high_compressibility,9,0.36453201970443355,1.0,2.5517241379310347,2,6,8,17.0,9.0,17,17,242.0,16,16.0,0.0,0,0,205.0,9,15.0,6.0,11,11,245.0,1,1,0.11764705882352941,0.0625
medium_compressibility,1,0.2125,0.68,3.4,2,6,17,18.0,1.0,2,3,183.0,17,17.0,0.0,0,0,171.0,19,19.0,0.0,0,0,204.0,1,1,-0.05555555555555555,-0.11764705882352941
medium_compressibility,3,0.3169230769230769,0.88,4.12,2,6,14,17.0,3.0,5,6,192.0,16,16.0,0.0,0,0,173.0,14,14.0,0.0,0,0,202.0,1,1,0.17647058823529413,0.125
medium_compressibility,5,0.1323076923076923,0.72,1.72,2,6,14,15.0,1.0,1,3,169.0,17,17.0,0.0,0,0,173.0,14,14.0,0.0,0,0,171.0,1,1,0.06666666666666667,0.17647058823529413
medium_compressibility,7,0.15466666666666665,0.84,2.32,2,6,16,18.0,2.0,3,8,193.0,19,19.0,0.0,0,0,182.0,17,17.0,0.0,0,0,199.0,1,1,0.05555555555555555,0.10526315789473684
medium_compressibility,9,0.32923076923076927,0.84,4.28,2,6,14,16.0,2.0,4,5,183.0,15,15.0,0.0,0,0,157.0,14,14.0,0.0,0,0,217.0,1,1,0.125,0.06666666666666667
low_compressibility,1,0.0,0.0,0.0,2,6,42,42.0,0.0,0,0,263.0,42,42.0,0.0,0,0,263.0,42,42.0,0.0,0,0,263.0,1,1,0.0,0.0
low_compressibility,3,0.0,0.0,0.0,2,6,42,42.0,0.0,0,0,263.0,42,42.0,0.0,0,0,263.0,42,42.0,0.0,0,0,263.0,1,1,0.0,0.0
low_compressibility,5,0.0,0.0,0.0,2,6,42,42.0,0.0,0,0,263.0,42,42.0,0.0,0,0,263.0,42,42.0,0.0,0,0,263.0,1,1,0.0,0.0
low_compressibility,7,0.0,0.0,0.0,2,6,42,42.0,0.0,0,0,263.0,42,42.0,0.0,0,0,263.0,42,42.0,0.0,0,0,263.0,1,1,0.0,0.0
low_compressibility,9,0.0,0.0,0.0,2,6,42,42.0,0.0,0,0,263.0,42,42.0,0.0,0,0,263.0,42,42.0,0.0,0,0,263.0,1,1,0.0,0.0
