family,seed,legacy_compressibility,slack_ratio,mean_t_slack,experiment_count,mean_relative_improvement_static_min_vs_smoothed,std_relative_improvement_static_min_vs_smoothed,median_relative_improvement_static_min_vs_smoothed,mean_relative_improvement_capacity_aware_vs_smoothed,std_relative_improvement_capacity_aware_vs_smoothed,median_relative_improvement_capacity_aware_vs_smoothed,mean_relative_QTV_change_static_min_vs_smoothed,mean_relative_QTV_change_capacity_aware_vs_smoothed,mean_delta_max_reduction_static_min_vs_smoothed,mean_delta_max_reduction_capacity_aware_vs_smoothed,summary_level
high_compressibility,1,0.5665024630541872,1.0,3.9655172413793105,112,-0.04292723932192623,0.15220302600653793,0.0,-0.14523809523809522,0.1240666570539216,-0.25,0.1991646515426964,0.3054035850894233,4.714285714285714,-4.0,family_seed
high_compressibility,3,0.4778325123152709,1.0,3.3448275862068964,112,-0.046638805533492436,0.15151763992735812,0.0,-0.13225108225108226,0.14219715584048095,-0.25,0.19840610260179364,0.281960859508579,4.142857142857143,-4.0,family_seed
high_compressibility,5,0.4827586206896552,1.0,3.3793103448275863,112,-0.027747585800242346,0.12777124321481312,0.0,-0.1253968253968254,0.11653840675016505,-0.1111111111111111,0.13414705584921646,0.3934762207697773,4.571428571428571,-4.0,family_seed
high_compressibility,7,0.4778325123152709,1.0,3.3448275862068964,112,-0.04360364624833316,0.15142954832775105,0.0,-0.1124098124098124,0.13374862789745934,-0.1111111111111111,0.16041488455609246,0.29425403020627755,4.571428571428571,-4.0,family_seed
high_compressibility,9,0.36453201970443355,1.0,2.5517241379310347,112,0.019658438888751982,0.107733385724302,0.0,-0.03495332792207792,0.08380852235051771,0.0,0.10590425929074454,0.2130150845141643,4.142857142857143,-4.714285714285714,family_seed
low_compressibility,1,0.0,0.0,0.0,112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,family_seed
low_compressibility,3,0.0,0.0,0.0,112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,family_seed
low_compressibility,5,0.0,0.0,0.0,112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,family_seed
low_compressibility,7,0.0,0.0,0.0,112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,family_seed
low_compressibility,9,0.0,0.0,0.0,112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,family_seed
medium_compressibility,1,0.2125,0.68,3.4,112,-0.08617036558213029,0.055308243393743343,-0.11764705882352941,-0.10084033613445377,0.04135292001541148,-0.11764705882352941,0.1553583146771684,0.18991961286194206,0.7142857142857143,-0.8571428571428571,family_seed
medium_compressibility,3,0.3169230769230769,0.88,4.12,112,0.03330561391223156,0.05777171718025925,0.0,0.017857142857142856,0.043937477516374675,0.0,0.24486877141846536,0.31501588814216486,1.1428571428571428,-1.7142857142857142,family_seed
medium_compressibility,5,0.1323076923076923,0.72,1.72,112,0.013558201058201057,0.02425143756429076,0.0,0.030170401493930906,0.061284867092523336,0.0,0.07725866619085953,0.10341542303685078,0.2857142857142857,-1.7142857142857142,family_seed
medium_compressibility,7,0.15466666666666665,0.84,2.32,112,-0.01938766186299081,0.05444530711455716,-0.0625,-0.0018274853801169605,0.06343868420761647,0.0,0.09678867594103487,0.14386635677500315,1.0,-1.1428571428571428,family_seed
medium_compressibility,9,0.32923076923076927,0.84,4.28,112,0.020089285714285716,0.041674400331686165,0.0,0.009523809523809523,0.023433321342066504,0.0,0.31847056213453523,0.41504113162853784,0.7142857142857143,-1.5714285714285714,family_seed
high_compressibility,ALL,0.4738916256157635,1.0,3.3172413793103446,560,-0.028251767603048438,0.1409840647667363,0.0,-0.11004982864357864,0.12743732847304848,-0.1111111111111111,0.1596073907681087,0.2976219560176443,4.428571428571429,-4.142857142857143,family
low_compressibility,ALL,0.0,0.0,0.0,560,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,family
medium_compressibility,ALL,0.229125641025641,0.7919999999999999,3.1679999999999997,560,-0.007720985352080553,0.06452659059888056,0.0,-0.00902329352793749,0.06780709780833756,0.0,0.17854899807241267,0.23345168248889975,0.7714285714285715,-1.4,family
