family,seed,C,B,policy,feasible,feasible_reason,T_static,T_exe,stall_cycles,Delta_max
high_compressibility,1,1,0,capacity_aware_static,1,feasible,22,22,0,0
high_compressibility,1,1,0,delivery_aware_slack,1,feasible,22,22,0,0
high_compressibility,1,1,2,capacity_aware_static,1,feasible,22,22,0,0
high_compressibility,1,1,2,delivery_aware_slack,1,feasible,22,22,0,0
high_compressibility,1,1,4,capacity_aware_static,1,feasible,22,22,0,0
high_compressibility,1,1,4,delivery_aware_slack,1,feasible,22,22,0,0
high_compressibility,1,2,0,capacity_aware_static,1,feasible,11,11,0,0
high_compressibility,1,2,0,delivery_aware_slack,1,feasible,11,11,0,0
high_compressibility,1,2,2,capacity_aware_static,1,feasible,11,11,0,0
high_compressibility,1,2,2,delivery_aware_slack,1,feasible,11,11,0,0
high_compressibility,1,2,4,capacity_aware_static,1,feasible,11,11,0,0
high_compressibility,1,2,4,delivery_aware_slack,1,feasible,11,11,0,0
high_compressibility,1,3,0,capacity_aware_static,1,feasible,8,8,0,0
high_compressibility,1,3,0,delivery_aware_slack,1,feasible,8,8,0,0
high_compressibility,1,3,2,capacity_aware_static,1,feasible,8,8,0,0
high_compressibility,1,3,2,delivery_aware_slack,1,feasible,8,8,0,0
high_compressibility,1,3,4,capacity_aware_static,1,feasible,8,8,0,0
high_compressibility,1,3,4,delivery_aware_slack,1,feasible,8,8,0,0
high_compressibility,2,1,0,capacity_aware_static,1,feasible,22,22,0,0
high_compressibility,2,1,0,delivery_aware_slack,1,feasible,22,22,0,0
high_compressibility,2,1,2,capacity_aware_static,1,feasible,22,22,0,0
high_compressibility,2,1,2,delivery_aware_slack,1,feasible,22,22,0,0
high_compressibility,2,1,4,capacity_aware_static,1,feasible,22,22,0,0
high_compressibility,2,1,4,delivery_aware_slack,1,feasible,22,22,0,0
high_compressibility,2,2,0,capacity_aware_static,1,feasible,11,11,0,0
high_compressibility,2,2,0,delivery_aware_slack,1,feasible,11,11,0,0
high_compressibility,2,2,2,capacity_aware_static,1,feasible,11,11,0,0
high_compressibility,2,2,2,delivery_aware_slack,1,feasible,11,11,0,0
high_compressibility,2,2,4,capacity_aware_static,1,feasible,11,11,0,0
high_compressibility,2,2,4,delivery_aware_slack,1,feasible,11,11,0,0
high_compressibility,2,3,0,capacity_aware_static,1,feasible,8,8,0,0
high_compressibility,2,3,0,delivery_aware_slack,1,feasible,8,8,0,0
high_compressibility,2,3,2,capacity_aware_static,1,feasible,8,8,0,0
high_compressibility,2,3,2,delivery_aware_slack,1,feasible,8,8,0,0
high_compressibility,2,3,4,capacity_aware_static,1,feasible,8,8,0,0
high_compressibility,2,3,4,delivery_aware_slack,1,feasible,8,8,0,0
high_compressibility,3,1,0,capacity_aware_static,1,feasible,22,22,0,0
high_compressibility,3,1,0,delivery_aware_slack,1,feasible,22,22,0,0
high_compressibility,3,1,2,capacity_aware_static,1,feasible,22,22,0,0
high_compressibility,3,1,2,delivery_aware_slack,1,feasible,22,22,0,0
high_compressibility,3,1,4,capacity_aware_static,1,feasible,22,22,0,0
high_compressibility,3,1,4,delivery_aware_slack,1,feasible,22,22,0,0
high_compressibility,3,2,0,capacity_aware_static,1,feasible,11,11,0,0
high_compressibility,3,2,0,delivery_aware_slack,1,feasible,11,11,0,0
high_compressibility,3,2,2,capacity_aware_static,1,feasible,11,11,0,0
high_compressibility,3,2,2,delivery_aware_slack,1,feasible,11,11,0,0
high_compressibility,3,2,4,capacity_aware_static,1,feasible,11,11,0,0
high_compressibility,3,2,4,delivery_aware_slack,1,feasible,11,11,0,0
high_compressibility,3,3,0,capacity_aware_static,1,feasible,9,9,0,0
high_compressibility,3,3,0,delivery_aware_slack,1,feasible,8,8,0,0
high_compressibility,3,3,2,capacity_aware_static,1,feasible,9,9,0,0
high_compressibility,3,3,2,delivery_aware_slack,1,feasible,8,8,0,0
high_compressibility,3,3,4,capacity_aware_static,1,feasible,9,9,0,0
high_compressibility,3,3,4,delivery_aware_slack,1,feasible,8,8,0,0
medium_compressibility,1,1,0,capacity_aware_static,1,feasible,25,25,0,0
medium_compressibility,1,1,0,delivery_aware_slack,1,feasible,22,22,0,0
medium_compressibility,1,1,2,capacity_aware_static,1,feasible,25,25,0,0
medium_compressibility,1,1,2,delivery_aware_slack,1,feasible,22,22,0,0
medium_compressibility,1,1,4,capacity_aware_static,1,feasible,25,25,0,0
medium_compressibility,1,1,4,delivery_aware_slack,1,feasible,22,22,0,0
medium_compressibility,1,2,0,capacity_aware_static,1,feasible,16,16,0,0
medium_compressibility,1,2,0,delivery_aware_slack,1,feasible,16,16,0,0
medium_compressibility,1,2,2,capacity_aware_static,1,feasible,16,16,0,0
medium_compressibility,1,2,2,delivery_aware_slack,1,feasible,16,16,0,0
medium_compressibility,1,2,4,capacity_aware_static,1,feasible,16,16,0,0
medium_compressibility,1,2,4,delivery_aware_slack,1,feasible,16,16,0,0
medium_compressibility,1,3,0,capacity_aware_static,1,feasible,16,16,0,0
medium_compressibility,1,3,0,delivery_aware_slack,1,feasible,16,16,0,0
medium_compressibility,1,3,2,capacity_aware_static,1,feasible,16,16,0,0
medium_compressibility,1,3,2,delivery_aware_slack,1,feasible,16,16,0,0
medium_compressibility,1,3,4,capacity_aware_static,1,feasible,16,16,0,0
medium_compressibility,1,3,4,delivery_aware_slack,1,feasible,16,16,0,0
medium_compressibility,2,1,0,capacity_aware_static,1,feasible,26,26,0,0
medium_compressibility,2,1,0,delivery_aware_slack,1,feasible,23,23,0,0
medium_compressibility,2,1,2,capacity_aware_static,1,feasible,26,26,0,0
medium_compressibility,2,1,2,delivery_aware_slack,1,feasible,23,23,0,0
medium_compressibility,2,1,4,capacity_aware_static,1,feasible,26,26,0,0
medium_compressibility,2,1,4,delivery_aware_slack,1,feasible,23,23,0,0
medium_compressibility,2,2,0,capacity_aware_static,1,feasible,20,20,0,0
medium_compressibility,2,2,0,delivery_aware_slack,1,feasible,19,19,0,0
medium_compressibility,2,2,2,capacity_aware_static,1,feasible,20,20,0,0
medium_compressibility,2,2,2,delivery_aware_slack,1,feasible,19,19,0,0
medium_compressibility,2,2,4,capacity_aware_static,1,feasible,20,20,0,0
medium_compressibility,2,2,4,delivery_aware_slack,1,feasible,19,19,0,0
medium_compressibility,2,3,0,capacity_aware_static,1,feasible,19,19,0,0
medium_compressibility,2,3,0,delivery_aware_slack,1,feasible,19,19,0,0
medium_compressibility,2,3,2,capacity_aware_static,1,feasible,19,19,0,0
medium_compressibility,2,3,2,delivery_aware_slack,1,feasible,19,19,0,0
medium_compressibility,2,3,4,capacity_aware_static,1,feasible,19,19,0,0
medium_compressibility,2,3,4,delivery_aware_slack,1,feasible,19,19,0,0
medium_compressibility,3,1,0,capacity_aware_static,1,feasible,22,22,0,0
medium_compressibility,3,1,0,delivery_aware_slack,1,feasible,22,22,0,0
medium_compressibility,3,1,2,capacity_aware_static,1,feasible,22,22,0,0
medium_compressibility,3,1,2,delivery_aware_slack,1,feasible,22,22,0,0
medium_compressibility,3,1,4,capacity_aware_static,1,feasible,22,22,0,0
medium_compressibility,3,1,4,delivery_aware_slack,1,feasible,22,22,0,0
medium_compressibility,3,2,0,capacity_aware_static,1,feasible,15,15,0,0
medium_compressibility,3,2,0,delivery_aware_slack,1,feasible,13,13,0,0
medium_compressibility,3,2,2,capacity_aware_static,1,feasible,15,15,0,0
medium_compressibility,3,2,2,delivery_aware_slack,1,feasible,13,13,0,0
medium_compressibility,3,2,4,capacity_aware_static,1,feasible,15,15,0,0
medium_compressibility,3,2,4,delivery_aware_slack,1,feasible,13,13,0,0
medium_compressibility,3,3,0,capacity_aware_static,1,feasible,13,13,0,0
medium_compressibility,3,3,0,delivery_aware_slack,1,feasible,13,13,0,0
medium_compressibility,3,3,2,capacity_aware_static,1,feasible,13,13,0,0
medium_compressibility,3,3,2,delivery_aware_slack,1,feasible,13,13,0,0
medium_compressibility,3,3,4,capacity_aware_static,1,feasible,13,13,0,0
medium_compressibility,3,3,4,delivery_aware_slack,1,feasible,13,13,0,0
low_compressibility,1,1,0,capacity_aware_static,1,feasible,48,48,0,0
low_compressibility,1,1,0,delivery_aware_slack,1,feasible,48,48,0,0
low_compressibility,1,1,2,capacity_aware_static,1,feasible,48,48,0,0
low_compressibility,1,1,2,delivery_aware_slack,1,feasible,48,48,0,0
low_compressibility,1,1,4,capacity_aware_static,1,feasible,48,48,0,0
low_compressibility,1,1,4,delivery_aware_slack,1,feasible,48,48,0,0
low_compressibility,1,2,0,capacity_aware_static,1,feasible,48,48,0,0
low_compressibility,1,2,0,delivery_aware_slack,1,feasible,48,48,0,0
low_compressibility,1,2,2,capacity_aware_static,1,feasible,48,48,0,0
low_compressibility,1,2,2,delivery_aware_slack,1,feasible,48,48,0,0
low_compressibility,1,2,4,capacity_aware_static,1,feasible,48,48,0,0
low_compressibility,1,2,4,delivery_aware_slack,1,feasible,48,48,0,0
low_compressibility,1,3,0,capacity_aware_static,1,feasible,48,48,0,0
low_compressibility,1,3,0,delivery_aware_slack,1,feasible,48,48,0,0
low_compressibility,1,3,2,capacity_aware_static,1,feasible,48,48,0,0
low_compressibility,1,3,2,delivery_aware_slack,1,feasible,48,48,0,0
low_compressibility,1,3,4,capacity_aware_static,1,feasible,48,48,0,0
low_compressibility,1,3,4,delivery_aware_slack,1,feasible,48,48,0,0
low_compressibility,2,1,0,capacity_aware_static,1,feasible,48,48,0,0
low_compressibility,2,1,0,delivery_aware_slack,1,feasible,48,48,0,0
low_compressibility,2,1,2,capacity_aware_static,1,feasible,48,48,0,0
low_compressibility,2,1,2,delivery_aware_slack,1,feasible,48,48,0,0
low_compressibility,2,1,4,capacity_aware_static,1,feasible,48,48,0,0
low_compressibility,2,1,4,delivery_aware_slack,1,feasible,48,48,0,0
low_compressibility,2,2,0,capacity_aware_static,1,feasible,48,48,0,0
low_compressibility,2,2,0,delivery_aware_slack,1,feasible,48,48,0,0
low_compressibility,2,2,2,capacity_aware_static,1,feasible,48,48,0,0
