family,seed,C,B,Delta_max_capacity_aware_static,Delta_max_delivery_aware_slack,T_exe_capacity_aware_static,T_exe_delivery_aware_slack,T_static_capacity_aware_static,T_static_delivery_aware_slack,feasible_capacity_aware_static,feasible_delivery_aware_slack,stall_cycles_capacity_aware_static,stall_cycles_delivery_aware_slack,static_depth_improvement,exe_improvement,delta_max_reduction
high_compressibility,1,1,0,0,0,22,22,22,22,1,1,0,0,0,0,0
high_compressibility,1,1,2,0,0,22,22,22,22,1,1,0,0,0,0,0
high_compressibility,1,1,4,0,0,22,22,22,22,1,1,0,0,0,0,0
high_compressibility,1,2,0,0,0,11,11,11,11,1,1,0,0,0,0,0
high_compressibility,1,2,2,0,0,11,11,11,11,1,1,0,0,0,0,0
high_compressibility,1,2,4,0,0,11,11,11,11,1,1,0,0,0,0,0
high_compressibility,1,3,0,0,0,8,8,8,8,1,1,0,0,0,0,0
high_compressibility,1,3,2,0,0,8,8,8,8,1,1,0,0,0,0,0
high_compressibility,1,3,4,0,0,8,8,8,8,1,1,0,0,0,0,0
high_compressibility,2,1,0,0,0,22,22,22,22,1,1,0,0,0,0,0
high_compressibility,2,1,2,0,0,22,22,22,22,1,1,0,0,0,0,0
high_compressibility,2,1,4,0,0,22,22,22,22,1,1,0,0,0,0,0
high_compressibility,2,2,0,0,0,11,11,11,11,1,1,0,0,0,0,0
high_compressibility,2,2,2,0,0,11,11,11,11,1,1,0,0,0,0,0
high_compressibility,2,2,4,0,0,11,11,11,11,1,1,0,0,0,0,0
high_compressibility,2,3,0,0,0,8,8,8,8,1,1,0,0,0,0,0
high_compressibility,2,3,2,0,0,8,8,8,8,1,1,0,0,0,0,0
high_compressibility,2,3,4,0,0,8,8,8,8,1,1,0,0,0,0,0
high_compressibility,3,1,0,0,0,22,22,22,22,1,1,0,0,0,0,0
high_compressibility,3,1,2,0,0,22,22,22,22,1,1,0,0,0,0,0
high_compressibility,3,1,4,0,0,22,22,22,22,1,1,0,0,0,0,0
high_compressibility,3,2,0,0,0,11,11,11,11,1,1,0,0,0,0,0
high_compressibility,3,2,2,0,0,11,11,11,11,1,1,0,0,0,0,0
