workload,policy,C,B,feasible,feasible_reason,T_static,T_exe,stall_cycles,Delta_max,t_count,node_count,eval_seconds,build_seconds
adder_n4,capacity_aware_static,1,0,1,feasible,102,102,0,0,56,137,0.0017727501690387726,0.04242900013923645
adder_n4,delivery_aware_slack,1,0,1,feasible,102,102,0,0,56,137,0.001930000027641654,0.04242900013923645
adder_n4,capacity_aware_static,1,4,1,feasible,102,102,0,0,56,137,0.0016969579737633467,0.04242900013923645
adder_n4,delivery_aware_slack,1,4,1,feasible,102,102,0,0,56,137,0.0019374999683350325,0.04242900013923645
adder_n4,capacity_aware_static,1,8,1,feasible,102,102,0,0,56,137,0.0016972499433904886,0.04242900013923645
adder_n4,delivery_aware_slack,1,8,1,feasible,102,102,0,0,56,137,0.0019329169299453497,0.04242900013923645
adder_n4,capacity_aware_static,2,0,1,feasible,98,98,0,0,56,137,0.0015874998643994331,0.04242900013923645
adder_n4,delivery_aware_slack,2,0,1,feasible,98,98,0,0,56,137,0.001795915886759758,0.04242900013923645
adder_n4,capacity_aware_static,2,4,1,feasible,98,98,0,0,56,137,0.001583541976287961,0.04242900013923645
adder_n4,delivery_aware_slack,2,4,1,feasible,98,98,0,0,56,137,0.0018162080086767673,0.04242900013923645
adder_n4,capacity_aware_static,2,8,1,feasible,98,98,0,0,56,137,0.001580249983817339,0.04242900013923645
adder_n4,delivery_aware_slack,2,8,1,feasible,98,98,0,0,56,137,0.0017985410522669554,0.04242900013923645
multiplier_n4,capacity_aware_static,1,0,1,feasible,1527,1527,0,0,978,2050,0.3311410001479089,0.2648072501178831
multiplier_n4,delivery_aware_slack,1,0,1,feasible,1460,1460,0,0,978,2050,0.32273154193535447,0.2648072501178831
multiplier_n4,capacity_aware_static,1,4,1,feasible,1527,1527,0,0,978,2050,0.33160958299413323,0.2648072501178831
multiplier_n4,delivery_aware_slack,1,4,1,feasible,1460,1460,0,0,978,2050,0.33579570800065994,0.2648072501178831
multiplier_n4,capacity_aware_static,1,8,1,feasible,1527,1527,0,0,978,2050,0.36173137510195374,0.2648072501178831
multiplier_n4,delivery_aware_slack,1,8,1,feasible,1460,1460,0,0,978,2050,0.3210956249386072,0.2648072501178831
multiplier_n4,capacity_aware_static,2,0,1,feasible,1382,1382,0,0,978,2050,0.29773454181849957,0.2648072501178831
multiplier_n4,delivery_aware_slack,2,0,1,feasible,1381,1381,0,0,978,2050,0.2987702500540763,0.2648072501178831
multiplier_n4,capacity_aware_static,2,4,1,feasible,1382,1382,0,0,978,2050,0.2982263339217752,0.2648072501178831
multiplier_n4,delivery_aware_slack,2,4,1,feasible,1381,1381,0,0,978,2050,0.30322795803658664,0.2648072501178831
multiplier_n4,capacity_aware_static,2,8,1,feasible,1382,1382,0,0,978,2050,0.29913091706112027,0.2648072501178831
multiplier_n4,delivery_aware_slack,2,8,1,feasible,1381,1381,0,0,978,2050,0.29963504197075963,0.2648072501178831
multiplier_n5,capacity_aware_static,1,0,1,feasible,2413,2413,0,0,1549,3245,0.8191585000604391,0.4089612909592688
multiplier_n5,delivery_aware_slack,1,0,1,feasible,2305,2305,0,0,1549,3245,0.7879602911416441,0.4089612909592688
multiplier_n5,capacity_aware_static,1,4,1,feasible,2413,2413,0,0,1549,3245,0.8243002500385046,0.4089612909592688
multiplier_n5,delivery_aware_slack,1,4,1,feasible,2305,2305,0,0,1549,3245,0.7909709590021521,0.4089612909592688
multiplier_n5,capacity_aware_static,1,8,1,feasible,2413,2413,0,0,1549,3245,0.8258751248940825,0.4089612909592688
multiplier_n5,delivery_aware_slack,1,8,1,feasible,2305,2305,0,0,1549,3245,0.7885496250819415,0.4089612909592688
multiplier_n5,capacity_aware_static,2,0,1,feasible,2183,2183,0,0,1549,3245,0.7444085839670151,0.4089612909592688
multiplier_n5,delivery_aware_slack,2,0,1,feasible,2181,2181,0,0,1549,3245,0.7467016251757741,0.4089612909592688
multiplier_n5,capacity_aware_static,2,4,1,feasible,2183,2183,0,0,1549,3245,0.7382428329437971,0.4089612909592688
multiplier_n5,delivery_aware_slack,2,4,1,feasible,2181,2181,0,0,1549,3245,0.7464890829287469,0.4089612909592688
multiplier_n5,capacity_aware_static,2,8,1,feasible,2183,2183,0,0,1549,3245,0.743654458085075,0.4089612909592688
multiplier_n5,delivery_aware_slack,2,8,1,feasible,2181,2181,0,0,1549,3245,0.7502007919829339,0.4089612909592688
multiplier_n6,capacity_aware_static,1,0,1,feasible,3483,3483,0,0,2228,4670,1.7324988339096308,0.5846975001040846
multiplier_n6,delivery_aware_slack,1,0,1,feasible,3331,3331,0,0,2228,4670,1.6559066250920296,0.5846975001040846
multiplier_n6,capacity_aware_static,1,4,1,feasible,3483,3483,0,0,2228,4670,1.7390597499907017,0.5846975001040846
multiplier_n6,delivery_aware_slack,1,4,1,feasible,3331,3331,0,0,2228,4670,1.6462541669607162,0.5846975001040846
multiplier_n6,capacity_aware_static,1,8,1,feasible,3483,3483,0,0,2228,4670,1.7178230409044772,0.5846975001040846
multiplier_n6,delivery_aware_slack,1,8,1,feasible,3331,3331,0,0,2228,4670,1.7009214581921697,0.5846975001040846
multiplier_n6,capacity_aware_static,2,0,1,feasible,3157,3157,0,0,2228,4670,1.551046083914116,0.5846975001040846
multiplier_n6,delivery_aware_slack,2,0,1,feasible,3154,3154,0,0,2228,4670,1.5529435409698635,0.5846975001040846
multiplier_n6,capacity_aware_static,2,4,1,feasible,3157,3157,0,0,2228,4670,1.5499794578645378,0.5846975001040846
multiplier_n6,delivery_aware_slack,2,4,1,feasible,3154,3154,0,0,2228,4670,1.5606467500329018,0.5846975001040846
multiplier_n6,capacity_aware_static,2,8,1,feasible,3157,3157,0,0,2228,4670,1.551219082903117,0.5846975001040846
multiplier_n6,delivery_aware_slack,2,8,1,feasible,3154,3154,0,0,2228,4670,1.5630567090120167,0.5846975001040846
