workload,C,B,t_count,node_count,Delta_max_capacity_aware_static,Delta_max_delivery_aware_slack,T_exe_capacity_aware_static,T_exe_delivery_aware_slack,T_static_capacity_aware_static,T_static_delivery_aware_slack,build_seconds_capacity_aware_static,build_seconds_delivery_aware_slack,eval_seconds_capacity_aware_static,eval_seconds_delivery_aware_slack,feasible_capacity_aware_static,feasible_delivery_aware_slack,stall_cycles_capacity_aware_static,stall_cycles_delivery_aware_slack,static_depth_improvement,exe_improvement,delta_max_reduction
adder_n4,1,0,56,137,0,0,102,102,102,102,0.04242900013923645,0.04242900013923645,0.0017727501690387726,0.001930000027641654,1,1,0,0,0,0,0
adder_n4,1,4,56,137,0,0,102,102,102,102,0.04242900013923645,0.04242900013923645,0.0016969579737633467,0.0019374999683350325,1,1,0,0,0,0,0
adder_n4,1,8,56,137,0,0,102,102,102,102,0.04242900013923645,0.04242900013923645,0.0016972499433904886,0.0019329169299453497,1,1,0,0,0,0,0
adder_n4,2,0,56,137,0,0,98,98,98,98,0.04242900013923645,0.04242900013923645,0.0015874998643994331,0.001795915886759758,1,1,0,0,0,0,0
adder_n4,2,4,56,137,0,0,98,98,98,98,0.04242900013923645,0.04242900013923645,0.001583541976287961,0.0018162080086767673,1,1,0,0,0,0,0
adder_n4,2,8,56,137,0,0,98,98,98,98,0.04242900013923645,0.04242900013923645,0.001580249983817339,0.0017985410522669554,1,1,0,0,0,0,0
multiplier_n4,1,0,978,2050,0,0,1527,1460,1527,1460,0.2648072501178831,0.2648072501178831,0.3311410001479089,0.32273154193535447,1,1,0,0,67,67,0
multiplier_n4,1,4,978,2050,0,0,1527,1460,1527,1460,0.2648072501178831,0.2648072501178831,0.33160958299413323,0.33579570800065994,1,1,0,0,67,67,0
multiplier_n4,1,8,978,2050,0,0,1527,1460,1527,1460,0.2648072501178831,0.2648072501178831,0.36173137510195374,0.3210956249386072,1,1,0,0,67,67,0
multiplier_n4,2,0,978,2050,0,0,1382,1381,1382,1381,0.2648072501178831,0.2648072501178831,0.29773454181849957,0.2987702500540763,1,1,0,0,1,1,0
multiplier_n4,2,4,978,2050,0,0,1382,1381,1382,1381,0.2648072501178831,0.2648072501178831,0.2982263339217752,0.30322795803658664,1,1,0,0,1,1,0
multiplier_n4,2,8,978,2050,0,0,1382,1381,1382,1381,0.2648072501178831,0.2648072501178831,0.29913091706112027,0.29963504197075963,1,1,0,0,1,1,0
multiplier_n5,1,0,1549,3245,0,0,2413,2305,2413,2305,0.4089612909592688,0.4089612909592688,0.8191585000604391,0.7879602911416441,1,1,0,0,108,108,0
multiplier_n5,1,4,1549,3245,0,0,2413,2305,2413,2305,0.4089612909592688,0.4089612909592688,0.8243002500385046,0.7909709590021521,1,1,0,0,108,108,0
multiplier_n5,1,8,1549,3245,0,0,2413,2305,2413,2305,0.4089612909592688,0.4089612909592688,0.8258751248940825,0.7885496250819415,1,1,0,0,108,108,0
multiplier_n5,2,0,1549,3245,0,0,2183,2181,2183,2181,0.4089612909592688,0.4089612909592688,0.7444085839670151,0.7467016251757741,1,1,0,0,2,2,0
multiplier_n5,2,4,1549,3245,0,0,2183,2181,2183,2181,0.4089612909592688,0.4089612909592688,0.7382428329437971,0.7464890829287469,1,1,0,0,2,2,0
multiplier_n5,2,8,1549,3245,0,0,2183,2181,2183,2181,0.4089612909592688,0.4089612909592688,0.743654458085075,0.7502007919829339,1,1,0,0,2,2,0
multiplier_n6,1,0,2228,4670,0,0,3483,3331,3483,3331,0.5846975001040846,0.5846975001040846,1.7324988339096308,1.6559066250920296,1,1,0,0,152,152,0
multiplier_n6,1,4,2228,4670,0,0,3483,3331,3483,3331,0.5846975001040846,0.5846975001040846,1.7390597499907017,1.6462541669607162,1,1,0,0,152,152,0
multiplier_n6,1,8,2228,4670,0,0,3483,3331,3483,3331,0.5846975001040846,0.5846975001040846,1.7178230409044772,1.7009214581921697,1,1,0,0,152,152,0
multiplier_n6,2,0,2228,4670,0,0,3157,3154,3157,3154,0.5846975001040846,0.5846975001040846,1.551046083914116,1.5529435409698635,1,1,0,0,3,3,0
multiplier_n6,2,4,2228,4670,0,0,3157,3154,3157,3154,0.5846975001040846,0.5846975001040846,1.5499794578645378,1.5606467500329018,1,1,0,0,3,3,0
multiplier_n6,2,8,2228,4670,0,0,3157,3154,3157,3154,0.5846975001040846,0.5846975001040846,1.551219082903117,1.5630567090120167,1,1,0,0,3,3,0
