family,seed,legacy_compressibility,slack_ratio,mean_t_slack,C,B,T_static_static_min,T_static_smoothed,T_exe_static_min,T_exe_smoothed,delta_max_static_min,delta_max_smoothed,QTV_proxy_static_min,QTV_proxy_smoothed,relative_T_exe_improvement_static_min_vs_smoothed,relative_QTV_change_static_min_vs_smoothed
high_compressibility,9,0.36453201970443355,1.0,2.5517241379310347,4,2,8,9,12.0,9.0,7,0,172.0,148.0,0.25,-0.13953488372093023
high_compressibility,3,0.4778325123152709,1.0,3.3448275862068964,3,3,8,10,13.0,10.0,11,0,182.0,163.0,0.23076923076923078,-0.1043956043956044
high_compressibility,5,0.4827586206896552,1.0,3.3793103448275863,3,4,8,10,13.0,10.0,11,0,176.0,154.0,0.23076923076923078,-0.125
high_compressibility,9,0.36453201970443355,1.0,2.5517241379310347,4,3,8,9,11.0,9.0,7,0,158.0,148.0,0.18181818181818182,-0.06329113924050633
high_compressibility,9,0.36453201970443355,1.0,2.5517241379310347,5,1,8,9,11.0,9.0,3,0,158.0,148.0,0.18181818181818182,-0.06329113924050633
high_compressibility,1,0.5665024630541872,1.0,3.9655172413793105,3,3,8,10,12.0,10.0,11,0,159.0,155.0,0.16666666666666666,-0.025157232704402517
high_compressibility,1,0.5665024630541872,1.0,3.9655172413793105,3,4,8,10,12.0,10.0,11,0,159.0,155.0,0.16666666666666666,-0.025157232704402517
high_compressibility,1,0.5665024630541872,1.0,3.9655172413793105,3,5,8,10,12.0,10.0,11,0,159.0,155.0,0.16666666666666666,-0.025157232704402517
high_compressibility,1,0.5665024630541872,1.0,3.9655172413793105,3,6,8,10,12.0,10.0,11,0,159.0,155.0,0.16666666666666666,-0.025157232704402517
high_compressibility,1,0.5665024630541872,1.0,3.9655172413793105,3,7,8,10,12.0,10.0,11,0,159.0,155.0,0.16666666666666666,-0.025157232704402517
high_compressibility,1,0.5665024630541872,1.0,3.9655172413793105,3,8,8,10,12.0,10.0,11,0,159.0,155.0,0.16666666666666666,-0.025157232704402517
high_compressibility,1,0.5665024630541872,1.0,3.9655172413793105,3,9,8,10,12.0,10.0,11,0,159.0,155.0,0.16666666666666666,-0.025157232704402517
high_compressibility,1,0.5665024630541872,1.0,3.9655172413793105,3,10,8,10,12.0,10.0,11,0,159.0,155.0,0.16666666666666666,-0.025157232704402517
high_compressibility,1,0.5665024630541872,1.0,3.9655172413793105,3,11,8,10,12.0,10.0,11,0,159.0,155.0,0.16666666666666666,-0.025157232704402517
high_compressibility,1,0.5665024630541872,1.0,3.9655172413793105,3,12,8,10,12.0,10.0,11,0,159.0,155.0,0.16666666666666666,-0.025157232704402517
high_compressibility,1,0.5665024630541872,1.0,3.9655172413793105,3,13,8,10,12.0,10.0,11,0,159.0,155.0,0.16666666666666666,-0.025157232704402517
high_compressibility,1,0.5665024630541872,1.0,3.9655172413793105,3,14,8,10,12.0,10.0,11,0,159.0,155.0,0.16666666666666666,-0.025157232704402517
high_compressibility,1,0.5665024630541872,1.0,3.9655172413793105,3,15,8,10,12.0,10.0,11,0,159.0,155.0,0.16666666666666666,-0.025157232704402517
high_compressibility,1,0.5665024630541872,1.0,3.9655172413793105,4,2,8,10,12.0,10.0,7,0,159.0,155.0,0.16666666666666666,-0.025157232704402517
high_compressibility,3,0.4778325123152709,1.0,3.3448275862068964,3,4,8,10,12.0,10.0,11,0,167.0,163.0,0.16666666666666666,-0.023952095808383235
high_compressibility,3,0.4778325123152709,1.0,3.3448275862068964,3,5,8,10,12.0,10.0,11,0,167.0,163.0,0.16666666666666666,-0.023952095808383235
high_compressibility,3,0.4778325123152709,1.0,3.3448275862068964,3,6,8,10,12.0,10.0,11,0,167.0,163.0,0.16666666666666666,-0.023952095808383235
high_compressibility,3,0.4778325123152709,1.0,3.3448275862068964,3,7,8,10,12.0,10.0,11,0,167.0,163.0,0.16666666666666666,-0.023952095808383235
high_compressibility,3,0.4778325123152709,1.0,3.3448275862068964,3,8,8,10,12.0,10.0,11,0,167.0,163.0,0.16666666666666666,-0.023952095808383235
high_compressibility,3,0.4778325123152709,1.0,3.3448275862068964,3,9,8,10,12.0,10.0,11,0,167.0,163.0,0.16666666666666666,-0.023952095808383235
high_compressibility,3,0.4778325123152709,1.0,3.3448275862068964,3,10,8,10,12.0,10.0,11,0,167.0,163.0,0.16666666666666666,-0.023952095808383235
high_compressibility,3,0.4778325123152709,1.0,3.3448275862068964,3,11,8,10,12.0,10.0,11,0,167.0,163.0,0.16666666666666666,-0.023952095808383235
high_compressibility,3,0.4778325123152709,1.0,3.3448275862068964,3,12,8,10,12.0,10.0,11,0,167.0,163.0,0.16666666666666666,-0.023952095808383235
high_compressibility,3,0.4778325123152709,1.0,3.3448275862068964,3,13,8,10,12.0,10.0,11,0,167.0,163.0,0.16666666666666666,-0.023952095808383235
high_compressibility,3,0.4778325123152709,1.0,3.3448275862068964,3,14,8,10,12.0,10.0,11,0,167.0,163.0,0.16666666666666666,-0.023952095808383235
high_compressibility,3,0.4778325123152709,1.0,3.3448275862068964,3,15,8,10,12.0,10.0,11,0,167.0,163.0,0.16666666666666666,-0.023952095808383235
high_compressibility,5,0.4827586206896552,1.0,3.3793103448275863,3,5,8,10,12.0,10.0,11,0,161.0,154.0,0.16666666666666666,-0.043478260869565216
high_compressibility,5,0.4827586206896552,1.0,3.3793103448275863,3,6,8,10,12.0,10.0,11,0,160.0,154.0,0.16666666666666666,-0.0375
high_compressibility,5,0.4827586206896552,1.0,3.3793103448275863,3,7,8,10,12.0,10.0,11,0,160.0,154.0,0.16666666666666666,-0.0375
high_compressibility,5,0.4827586206896552,1.0,3.3793103448275863,3,8,8,10,12.0,10.0,11,0,160.0,154.0,0.16666666666666666,-0.0375
high_compressibility,5,0.4827586206896552,1.0,3.3793103448275863,3,9,8,10,12.0,10.0,11,0,160.0,154.0,0.16666666666666666,-0.0375
