family,seed,C,B,static_min_vs_smoothed_inversion,capacity_aware_vs_smoothed_inversion
high_compressibility,1,1,0,0,0
high_compressibility,1,1,1,0,0
high_compressibility,1,1,2,0,0
high_compressibility,1,1,3,0,0
high_compressibility,1,1,4,0,0
high_compressibility,1,1,5,1,0
high_compressibility,1,1,6,1,0
high_compressibility,1,1,7,1,0
high_compressibility,1,1,8,1,0
high_compressibility,1,1,9,1,0
high_compressibility,1,1,10,1,0
high_compressibility,1,1,11,1,0
high_compressibility,1,1,12,1,0
high_compressibility,1,1,13,1,0
high_compressibility,1,1,14,1,0
high_compressibility,1,1,15,1,0
high_compressibility,1,2,0,0,0
high_compressibility,1,2,1,0,0
high_compressibility,1,2,2,0,0
high_compressibility,1,2,3,0,0
high_compressibility,1,2,4,1,0
high_compressibility,1,2,5,1,0
high_compressibility,1,2,6,1,0
high_compressibility,1,2,7,1,0
high_compressibility,1,2,8,1,0
high_compressibility,1,2,9,1,0
high_compressibility,1,2,10,1,0
high_compressibility,1,2,11,1,0
high_compressibility,1,2,12,1,0
high_compressibility,1,2,13,1,0
high_compressibility,1,2,14,1,0
high_compressibility,1,2,15,1,0
high_compressibility,1,3,0,0,0
high_compressibility,1,3,1,0,0
high_compressibility,1,3,2,0,0
high_compressibility,1,3,3,1,0
high_compressibility,1,3,4,1,0
high_compressibility,1,3,5,1,0
high_compressibility,1,3,6,1,0
high_compressibility,1,3,7,1,0
high_compressibility,1,3,8,1,0
high_compressibility,1,3,9,1,0
high_compressibility,1,3,10,1,0
high_compressibility,1,3,11,1,0
high_compressibility,1,3,12,1,0
high_compressibility,1,3,13,1,0
high_compressibility,1,3,14,1,0
high_compressibility,1,3,15,1,0
high_compressibility,1,4,0,0,0
high_compressibility,1,4,1,0,0
high_compressibility,1,4,2,1,0
high_compressibility,1,4,3,1,0
high_compressibility,1,4,4,0,0
high_compressibility,1,4,5,0,0
high_compressibility,1,4,6,0,0
high_compressibility,1,4,7,0,0
high_compressibility,1,4,8,0,0
high_compressibility,1,4,9,0,0
high_compressibility,1,4,10,0,0
high_compressibility,1,4,11,0,0
high_compressibility,1,4,12,0,0
high_compressibility,1,4,13,0,0
high_compressibility,1,4,14,0,0
high_compressibility,1,4,15,0,0
high_compressibility,1,5,0,0,0
high_compressibility,1,5,1,1,0
high_compressibility,1,5,2,0,0
high_compressibility,1,5,3,0,0
high_compressibility,1,5,4,0,0
high_compressibility,1,5,5,0,0
high_compressibility,1,5,6,0,0
high_compressibility,1,5,7,0,0
high_compressibility,1,5,8,0,0
high_compressibility,1,5,9,0,0
high_compressibility,1,5,10,0,0
high_compressibility,1,5,11,0,0
high_compressibility,1,5,12,0,0
high_compressibility,1,5,13,0,0
high_compressibility,1,5,14,0,0
high_compressibility,1,5,15,0,0
high_compressibility,1,6,0,0,0
high_compressibility,1,6,1,0,0
high_compressibility,1,6,2,0,0
high_compressibility,1,6,3,0,0
high_compressibility,1,6,4,0,0
high_compressibility,1,6,5,0,0
