family,seed,C,B,gamma,T_count,T_depth,peak_demand,mean_demand,delta_max,slack_ratio,mean_t_slack,stall,slowdown_ratio,inversion,strong_baseline_inversion,shaping_gain,strong_baseline_shaping_gain,feasible
high_compressibility,1,1,0,23,29,8,6,3.625,23,1.0,3.9655172413793105,1,inf,0,0,0.0,0.0,0
high_compressibility,1,1,1,23,29,8,6,3.625,23,1.0,3.9655172413793105,1,inf,0,0,0.0,0.0,0
high_compressibility,1,1,2,23,29,8,6,3.625,23,1.0,3.9655172413793105,1,inf,0,0,0.0,0.0,0
high_compressibility,1,1,3,23,29,8,6,3.625,23,1.0,3.9655172413793105,1,inf,0,0,0.0,0.0,0
high_compressibility,1,1,4,23,29,8,6,3.625,23,1.0,3.9655172413793105,1,inf,0,0,0.0,0.0,0
high_compressibility,1,1,5,23,29,8,6,3.625,23,1.0,3.9655172413793105,1,3.875,1,0,0.06451612903225806,0.0,1
high_compressibility,1,1,6,23,29,8,6,3.625,23,1.0,3.9655172413793105,1,3.875,1,0,0.06451612903225806,0.0,1
high_compressibility,1,1,7,23,29,8,6,3.625,23,1.0,3.9655172413793105,1,3.875,1,0,0.06451612903225806,0.0,1
high_compressibility,1,1,8,23,29,8,6,3.625,23,1.0,3.9655172413793105,1,3.875,1,0,0.06451612903225806,0.0,1
high_compressibility,1,1,9,23,29,8,6,3.625,23,1.0,3.9655172413793105,1,3.875,1,0,0.06451612903225806,0.0,1
high_compressibility,1,1,10,23,29,8,6,3.625,23,1.0,3.9655172413793105,1,3.875,1,0,0.06451612903225806,0.0,1
high_compressibility,1,1,11,23,29,8,6,3.625,23,1.0,3.9655172413793105,1,3.875,1,0,0.06451612903225806,0.0,1
high_compressibility,1,1,12,23,29,8,6,3.625,23,1.0,3.9655172413793105,1,3.875,1,0,0.06451612903225806,0.0,1
high_compressibility,1,1,13,23,29,8,6,3.625,23,1.0,3.9655172413793105,1,3.875,1,0,0.06451612903225806,0.0,1
high_compressibility,1,1,14,23,29,8,6,3.625,23,1.0,3.9655172413793105,1,3.875,1,0,0.06451612903225806,0.0,1
high_compressibility,1,1,15,23,29,8,6,3.625,23,1.0,3.9655172413793105,1,3.875,1,0,0.06451612903225806,0.0,1
high_compressibility,1,2,0,17,29,8,6,3.625,17,1.0,3.9655172413793105,1,inf,0,0,0.0,0.0,0
high_compressibility,1,2,1,17,29,8,6,3.625,17,1.0,3.9655172413793105,1,inf,0,0,0.0,-0.26666666666666666,0
high_compressibility,1,2,2,17,29,8,6,3.625,17,1.0,3.9655172413793105,1,inf,0,0,0.0,0.0,0
high_compressibility,1,2,3,17,29,8,6,3.625,17,1.0,3.9655172413793105,1,inf,0,0,0.0,0.0,0
high_compressibility,1,2,4,17,29,8,6,3.625,17,1.0,3.9655172413793105,1,2.125,1,0,0.11764705882352941,0.0,1
high_compressibility,1,2,5,17,29,8,6,3.625,17,1.0,3.9655172413793105,1,2.125,1,0,0.11764705882352941,0.0,1
high_compressibility,1,2,6,17,29,8,6,3.625,17,1.0,3.9655172413793105,1,2.125,1,0,0.11764705882352941,0.0,1
high_compressibility,1,2,7,17,29,8,6,3.625,17,1.0,3.9655172413793105,1,2.125,1,0,0.11764705882352941,0.0,1
high_compressibility,1,2,8,17,29,8,6,3.625,17,1.0,3.9655172413793105,1,2.125,1,0,0.11764705882352941,0.0,1
high_compressibility,1,2,9,17,29,8,6,3.625,17,1.0,3.9655172413793105,1,2.125,1,0,0.11764705882352941,0.0,1
high_compressibility,1,2,10,17,29,8,6,3.625,17,1.0,3.9655172413793105,1,2.125,1,0,0.11764705882352941,0.0,1
high_compressibility,1,2,11,17,29,8,6,3.625,17,1.0,3.9655172413793105,1,2.125,1,0,0.11764705882352941,0.0,1
high_compressibility,1,2,12,17,29,8,6,3.625,17,1.0,3.9655172413793105,1,2.125,1,0,0.11764705882352941,0.0,1
high_compressibility,1,2,13,17,29,8,6,3.625,17,1.0,3.9655172413793105,1,2.125,1,0,0.11764705882352941,0.0,1
high_compressibility,1,2,14,17,29,8,6,3.625,17,1.0,3.9655172413793105,1,2.125,1,0,0.11764705882352941,0.0,1
high_compressibility,1,2,15,17,29,8,6,3.625,17,1.0,3.9655172413793105,1,2.125,1,0,0.11764705882352941,0.0,1
high_compressibility,1,3,0,11,29,8,6,3.625,11,1.0,3.9655172413793105,1,inf,0,0,0.0,0.0,0
high_compressibility,1,3,1,11,29,8,6,3.625,11,1.0,3.9655172413793105,1,inf,0,0,0.0,0.0,0
