size_n,qaoa_p,graph_type,num_instances,mean_edges,mean_slack_ratio,mean_delta_max,mean_peak_T_demand,stall_rate,slowdown_rate
6,1.0,erdos_renyi_dense,3,7.0,0.35363043038941067,4110.933333333333,2.6666666666666665,0.28,0.16
6,1.0,random_3_regular,3,9.0,0.2632903126680495,7598.666666666667,3.6666666666666665,0.37333333333333335,0.16
6,1.0,ring,1,6.0,0.4140233120421493,2996.8,3.0,0.24,0.16
6,2.0,erdos_renyi_dense,3,7.0,0.45096169185181556,9896.133333333333,3.3333333333333335,0.30666666666666664,0.16
6,2.0,random_3_regular,3,9.0,0.3713865985476216,20221.466666666667,4.333333333333333,0.44,0.16
6,2.0,ring,1,6.0,0.4941643547306993,19097.4,4.0,0.44,0.16
8,1.0,erdos_renyi_dense,3,13.666666666666666,0.4644412921561029,14773.733333333332,3.6666666666666665,0.37333333333333335,0.16
8,1.0,random_3_regular,3,12.0,0.4474677345010371,8852.333333333334,3.0,0.24,0.16
8,1.0,ring,1,8.0,0.4341958067193533,3963.6,3.0,0.24,0.16
8,2.0,erdos_renyi_dense,3,13.666666666666666,0.5508547604679781,37143.6,4.666666666666667,0.5066666666666667,0.20000000000000004
8,2.0,random_3_regular,3,12.0,0.5943582323414051,35312.666666666664,4.666666666666667,0.4533333333333333,0.16
8,2.0,ring,1,8.0,0.553647278293313,29885.8,4.0,0.44,0.16
10,1.0,erdos_renyi_dense,3,22.0,0.4317677123423476,28688.666666666668,4.333333333333333,0.4533333333333333,0.21333333333333335
10,1.0,random_3_regular,3,15.0,0.43752400706768074,25115.86666666667,4.0,0.38666666666666666,0.26666666666666666
10,1.0,ring,1,10.0,0.4462993035256757,4930.4,3.0,0.24,0.16
10,2.0,erdos_renyi_dense,3,22.0,0.5290698168360769,62619.73333333334,5.0,0.48,0.26666666666666666
10,2.0,random_3_regular,3,15.0,0.6183155847834575,54779.53333333333,5.0,0.52,0.25333333333333335
10,2.0,ring,1,10.0,0.5893370324308811,40674.2,4.0,0.44,0.16
