trace_name,policy,trace_length,logical_qubit_budget,real_trace_compressibility,C,B,feasible,feasible_reason,T_static,T_exe,stall_cycles,stall_ratio,Delta_max,Gamma,peak_demand,mean_demand,total_T,QTV_proxy,normalized_makespan,variant
qft_n12_exact,static_min,932784,12,0.7108743063826681,1,0,0,peak_demand_exceeds_reachable_stock,932784,inf,inf,1.0,1245855,1319741,10,2.300863865589461,2146209,inf,inf,exact
qft_n12_exact,static_min,932784,12,0.7108743063826681,1,4,0,peak_demand_exceeds_reachable_stock,932784,inf,inf,1.0,1245855,1319741,10,2.300863865589461,2146209,inf,inf,exact
qft_n12_exact,static_min,932784,12,0.7108743063826681,1,8,0,peak_demand_exceeds_reachable_stock,932784,inf,inf,1.0,1245855,1319741,10,2.300863865589461,2146209,inf,inf,exact
qft_n12_exact,static_min,932784,12,0.7108743063826681,1,12,1,feasible,932784,2199890.0,1267106.0,0.5759860720308743,1245855,1319741,10,2.300863865589461,2146209,26398680.0,2.3584130945642294,exact
qft_n12_exact,capacity_aware_static,2167472,12,0.7108743063826681,1,0,1,feasible,2167472,2167472.0,0.0,0.0,0,0,1,0.9901899540109399,2146209,26009664.0,1.0,exact
qft_n12_exact,capacity_aware_static,2167472,12,0.7108743063826681,1,4,1,feasible,2167472,2167472.0,0.0,0.0,0,0,1,0.9901899540109399,2146209,26009664.0,1.0,exact
qft_n12_exact,capacity_aware_static,2167472,12,0.7108743063826681,1,8,1,feasible,2167472,2167472.0,0.0,0.0,0,0,1,0.9901899540109399,2146209,26009664.0,1.0,exact
qft_n12_exact,capacity_aware_static,2167472,12,0.7108743063826681,1,12,1,feasible,2167472,2167472.0,0.0,0.0,0,0,1,0.9901899540109399,2146209,26009664.0,1.0,exact
qft_n12_exact,smoothed,932784,12,0.7108743063826681,1,0,0,peak_demand_exceeds_reachable_stock,932784,inf,inf,1.0,1245855,1296670,3,2.300863865589461,2146209,inf,inf,exact
qft_n12_exact,smoothed,932784,12,0.7108743063826681,1,4,1,feasible,932784,2199898.0,1267114.0,0.5759876139711932,1245855,1296670,3,2.300863865589461,2146209,26398776.0,2.3584216710406696,exact
qft_n12_exact,smoothed,932784,12,0.7108743063826681,1,8,1,feasible,932784,2199894.0,1267110.0,0.5759868430024355,1245855,1296670,3,2.300863865589461,2146209,26398728.0,2.3584173828024495,exact
qft_n12_exact,smoothed,932784,12,0.7108743063826681,1,12,1,feasible,932784,2199890.0,1267106.0,0.5759860720308743,1245855,1296670,3,2.300863865589461,2146209,26398680.0,2.3584130945642294,exact
qft_n12_exact,static_min,932784,12,0.7108743063826681,2,0,0,peak_demand_exceeds_reachable_stock,932784,inf,inf,1.0,456692,729485,10,2.300863865589461,2146209,inf,inf,exact
qft_n12_exact,static_min,932784,12,0.7108743063826681,2,4,0,peak_demand_exceeds_reachable_stock,932784,inf,inf,1.0,456692,729485,10,2.300863865589461,2146209,inf,inf,exact
qft_n12_exact,static_min,932784,12,0.7108743063826681,2,8,1,feasible,932784,1249908.0,317124.0,0.2537178736354996,456692,729485,10,2.300863865589461,2146209,14998896.0,1.339975814336438,exact
qft_n12_exact,static_min,932784,12,0.7108743063826681,2,12,1,feasible,932784,1249885.0,317101.0,0.2537041407809518,456692,729485,10,2.300863865589461,2146209,14998620.0,1.3399511569666718,exact
qft_n12_exact,capacity_aware_static,1152753,12,0.7108743063826681,2,0,1,feasible,1152753,1152753.0,0.0,0.0,0,0,2,1.8618116803859976,2146209,13833036.0,1.0,exact
qft_n12_exact,capacity_aware_static,1152753,12,0.7108743063826681,2,4,1,feasible,1152753,1152753.0,0.0,0.0,0,0,2,1.8618116803859976,2146209,13833036.0,1.0,exact
qft_n12_exact,capacity_aware_static,1152753,12,0.7108743063826681,2,8,1,feasible,1152753,1152753.0,0.0,0.0,0,0,2,1.8618116803859976,2146209,13833036.0,1.0,exact
qft_n12_exact,capacity_aware_static,1152753,12,0.7108743063826681,2,12,1,feasible,1152753,1152753.0,0.0,0.0,0,0,2,1.8618116803859976,2146209,13833036.0,1.0,exact
qft_n12_exact,smoothed,932784,12,0.7108743063826681,2,0,0,peak_demand_exceeds_reachable_stock,932784,inf,inf,1.0,410506,603867,3,2.300863865589461,2146209,inf,inf,exact
qft_n12_exact,smoothed,932784,12,0.7108743063826681,2,4,1,feasible,932784,1222441.0,289657.0,0.23694967691692279,410506,603867,3,2.300863865589461,2146209,14669292.0,1.3105295545378137,exact
qft_n12_exact,smoothed,932784,12,0.7108743063826681,2,8,1,feasible,932784,1222435.0,289651.0,0.2369459316855293,410506,603867,3,2.300863865589461,2146209,14669220.0,1.3105231221804834,exact
qft_n12_exact,smoothed,932784,12,0.7108743063826681,2,12,1,feasible,932784,1222429.0,289645.0,0.23694218641737066,410506,603867,3,2.300863865589461,2146209,14669148.0,1.310516689823153,exact
qft_n12_exact,static_min,932784,12,0.7108743063826681,3,0,0,peak_demand_exceeds_reachable_stock,932784,inf,inf,1.0,0,359456,10,2.300863865589461,2146209,inf,inf,exact
qft_n12_exact,static_min,932784,12,0.7108743063826681,3,4,0,peak_demand_exceeds_reachable_stock,932784,inf,inf,1.0,0,359456,10,2.300863865589461,2146209,inf,inf,exact
qft_n12_exact,static_min,932784,12,0.7108743063826681,3,8,1,feasible,932784,1017648.0,84864.0,0.08339229281637658,0,359456,10,2.300863865589461,2146209,12211776.0,1.090979262079967,exact
qft_n12_exact,static_min,932784,12,0.7108743063826681,3,12,1,feasible,932784,1017629.0,84845.0,0.08337517896993894,0,359456,10,2.300863865589461,2146209,12211548.0,1.090958892948421,exact
qft_n12_exact,capacity_aware_static,932784,12,0.7108743063826681,3,0,1,feasible,932784,932784.0,0.0,0.0,0,0,3,2.300863865589461,2146209,11193408.0,1.0,exact
qft_n12_exact,capacity_aware_static,932784,12,0.7108743063826681,3,4,1,feasible,932784,932784.0,0.0,0.0,0,0,3,2.300863865589461,2146209,11193408.0,1.0,exact
qft_n12_exact,capacity_aware_static,932784,12,0.7108743063826681,3,8,1,feasible,932784,932784.0,0.0,0.0,0,0,3,2.300863865589461,2146209,11193408.0,1.0,exact
qft_n12_exact,capacity_aware_static,932784,12,0.7108743063826681,3,12,1,feasible,932784,932784.0,0.0,0.0,0,0,3,2.300863865589461,2146209,11193408.0,1.0,exact
qft_n12_exact,smoothed,932784,12,0.7108743063826681,3,0,1,feasible,932784,932784.0,0.0,0.0,0,0,3,2.300863865589461,2146209,11193408.0,1.0,exact
qft_n12_exact,smoothed,932784,12,0.7108743063826681,3,4,1,feasible,932784,932784.0,0.0,0.0,0,0,3,2.300863865589461,2146209,11193408.0,1.0,exact
qft_n12_exact,smoothed,932784,12,0.7108743063826681,3,8,1,feasible,932784,932784.0,0.0,0.0,0,0,3,2.300863865589461,2146209,11193408.0,1.0,exact
qft_n12_exact,smoothed,932784,12,0.7108743063826681,3,12,1,feasible,932784,932784.0,0.0,0.0,0,0,3,2.300863865589461,2146209,11193408.0,1.0,exact
qft_n12_approx_deg_4,static_min,932784,12,0.6584079045880156,1,0,0,peak_demand_exceeds_reachable_stock,932784,inf,inf,1.0,859047,943149,6,1.8861826532187516,1759401,inf,inf,approx_deg_4
qft_n12_approx_deg_4,static_min,932784,12,0.6584079045880156,1,4,0,peak_demand_exceeds_reachable_stock,932784,inf,inf,1.0,859047,943149,6,1.8861826532187516,1759401,inf,inf,approx_deg_4
qft_n12_approx_deg_4,static_min,932784,12,0.6584079045880156,1,8,1,feasible,932784,1813086.0,880302.0,0.48552688620396384,859047,943149,6,1.8861826532187516,1759401,21757032.0,1.9437361704317397,approx_deg_4
qft_n12_approx_deg_4,static_min,932784,12,0.6584079045880156,1,12,1,feasible,932784,1813082.0,880298.0,0.4855257511794833,859047,943149,6,1.8861826532187516,1759401,21756984.0,1.9437318821935197,approx_deg_4
qft_n12_approx_deg_4,capacity_aware_static,1780664,12,0.6584079045880156,1,0,1,feasible,1780664,1780664.0,0.0,0.0,0,0,1,0.9880589487966287,1759401,21367968.0,1.0,approx_deg_4
qft_n12_approx_deg_4,capacity_aware_static,1780664,12,0.6584079045880156,1,4,1,feasible,1780664,1780664.0,0.0,0.0,0,0,1,0.9880589487966287,1759401,21367968.0,1.0,approx_deg_4
qft_n12_approx_deg_4,capacity_aware_static,1780664,12,0.6584079045880156,1,8,1,feasible,1780664,1780664.0,0.0,0.0,0,0,1,0.9880589487966287,1759401,21367968.0,1.0,approx_deg_4
qft_n12_approx_deg_4,capacity_aware_static,1780664,12,0.6584079045880156,1,12,1,feasible,1780664,1780664.0,0.0,0.0,0,0,1,0.9880589487966287,1759401,21367968.0,1.0,approx_deg_4
qft_n12_approx_deg_4,smoothed,959349,12,0.6584079045880156,1,0,0,peak_demand_exceeds_reachable_stock,959349,inf,inf,1.0,800052,840553,2,1.8339530243946676,1759401,inf,inf,approx_deg_4
qft_n12_approx_deg_4,smoothed,959349,12,0.6584079045880156,1,4,1,feasible,959349,1780660.0,821311.0,0.46123965271303896,800052,840553,2,1.8339530243946676,1759401,21367920.0,1.856112843188454,approx_deg_4
qft_n12_approx_deg_4,smoothed,959349,12,0.6584079045880156,1,8,1,feasible,959349,1780656.0,821307.0,0.4612384424616546,800052,840553,2,1.8339530243946676,1759401,21367872.0,1.856108673694349,approx_deg_4
qft_n12_approx_deg_4,smoothed,959349,12,0.6584079045880156,1,12,1,feasible,959349,1780652.0,821303.0,0.4612372322048328,800052,840553,2,1.8339530243946676,1759401,21367824.0,1.8561045042002442,approx_deg_4
qft_n12_approx_deg_4,static_min,932784,12,0.6584079045880156,2,0,0,peak_demand_exceeds_reachable_stock,932784,inf,inf,1.0,69884,400765,6,1.8861826532187516,1759401,inf,inf,approx_deg_4
qft_n12_approx_deg_4,static_min,932784,12,0.6584079045880156,2,4,1,feasible,932784,1072096.0,139312.0,0.12994358714145002,69884,400765,6,1.8861826532187516,1759401,12865152.0,1.1493507607334603,approx_deg_4
qft_n12_approx_deg_4,static_min,932784,12,0.6584079045880156,2,8,1,feasible,932784,1071573.0,138789.0,0.12951894084677384,69884,400765,6,1.8861826532187516,1759401,12858876.0,1.1487900735861678,approx_deg_4
qft_n12_approx_deg_4,static_min,932784,12,0.6584079045880156,2,12,1,feasible,932784,1071555.0,138771.0,0.12950431849041813,69884,400765,6,1.8861826532187516,1759401,12858660.0,1.1487707765141768,approx_deg_4
qft_n12_approx_deg_4,capacity_aware_static,959349,12,0.6584079045880156,2,0,1,feasible,959349,959349.0,0.0,0.0,0,0,2,1.8339530243946676,1759401,11512188.0,1.0,approx_deg_4
qft_n12_approx_deg_4,capacity_aware_static,959349,12,0.6584079045880156,2,4,1,feasible,959349,959349.0,0.0,0.0,0,0,2,1.8339530243946676,1759401,11512188.0,1.0,approx_deg_4
qft_n12_approx_deg_4,capacity_aware_static,959349,12,0.6584079045880156,2,8,1,feasible,959349,959349.0,0.0,0.0,0,0,2,1.8339530243946676,1759401,11512188.0,1.0,approx_deg_4
qft_n12_approx_deg_4,capacity_aware_static,959349,12,0.6584079045880156,2,12,1,feasible,959349,959349.0,0.0,0.0,0,0,2,1.8339530243946676,1759401,11512188.0,1.0,approx_deg_4
qft_n12_approx_deg_4,smoothed,959349,12,0.6584079045880156,2,0,1,feasible,959349,959349.0,0.0,0.0,0,0,2,1.8339530243946676,1759401,11512188.0,1.0,approx_deg_4
qft_n12_approx_deg_4,smoothed,959349,12,0.6584079045880156,2,4,1,feasible,959349,959349.0,0.0,0.0,0,0,2,1.8339530243946676,1759401,11512188.0,1.0,approx_deg_4
qft_n12_approx_deg_4,smoothed,959349,12,0.6584079045880156,2,8,1,feasible,959349,959349.0,0.0,0.0,0,0,2,1.8339530243946676,1759401,11512188.0,1.0,approx_deg_4
qft_n12_approx_deg_4,smoothed,959349,12,0.6584079045880156,2,12,1,feasible,959349,959349.0,0.0,0.0,0,0,2,1.8339530243946676,1759401,11512188.0,1.0,approx_deg_4
qft_n12_approx_deg_4,static_min,932784,12,0.6584079045880156,3,0,0,peak_demand_exceeds_reachable_stock,932784,inf,inf,1.0,0,125963,6,1.8861826532187516,1759401,inf,inf,approx_deg_4
qft_n12_approx_deg_4,static_min,932784,12,0.6584079045880156,3,4,1,feasible,932784,942489.0,9705.0,0.010297202407667357,0,125963,6,1.8861826532187516,1759401,11309868.0,1.0104043379817835,approx_deg_4
qft_n12_approx_deg_4,static_min,932784,12,0.6584079045880156,3,8,1,feasible,932784,942244.0,9460.0,0.010039862286201875,0,125963,6,1.8861826532187516,1759401,11306928.0,1.0101416833907957,approx_deg_4
qft_n12_approx_deg_4,static_min,932784,12,0.6584079045880156,3,12,1,feasible,932784,942234.0,9450.0,0.010029355765128407,0,125963,6,1.8861826532187516,1759401,11306808.0,1.0101309627952453,approx_deg_4
qft_n12_approx_deg_4,capacity_aware_static,932784,12,0.6584079045880156,3,0,1,feasible,932784,932784.0,0.0,0.0,0,0,3,1.8861826532187516,1759401,11193408.0,1.0,approx_deg_4
qft_n12_approx_deg_4,capacity_aware_static,932784,12,0.6584079045880156,3,4,1,feasible,932784,932784.0,0.0,0.0,0,0,3,1.8861826532187516,1759401,11193408.0,1.0,approx_deg_4
qft_n12_approx_deg_4,capacity_aware_static,932784,12,0.6584079045880156,3,8,1,feasible,932784,932784.0,0.0,0.0,0,0,3,1.8861826532187516,1759401,11193408.0,1.0,approx_deg_4
qft_n12_approx_deg_4,capacity_aware_static,932784,12,0.6584079045880156,3,12,1,feasible,932784,932784.0,0.0,0.0,0,0,3,1.8861826532187516,1759401,11193408.0,1.0,approx_deg_4
qft_n12_approx_deg_4,smoothed,959349,12,0.6584079045880156,3,0,1,feasible,959349,959349.0,0.0,0.0,0,0,2,1.8339530243946676,1759401,11512188.0,1.0,approx_deg_4
qft_n12_approx_deg_4,smoothed,959349,12,0.6584079045880156,3,4,1,feasible,959349,959349.0,0.0,0.0,0,0,2,1.8339530243946676,1759401,11512188.0,1.0,approx_deg_4
qft_n12_approx_deg_4,smoothed,959349,12,0.6584079045880156,3,8,1,feasible,959349,959349.0,0.0,0.0,0,0,2,1.8339530243946676,1759401,11512188.0,1.0,approx_deg_4
qft_n12_approx_deg_4,smoothed,959349,12,0.6584079045880156,3,12,1,feasible,959349,959349.0,0.0,0.0,0,0,2,1.8339530243946676,1759401,11512188.0,1.0,approx_deg_4
