trace_name,trace_family,n_bits,T_count,T_depth,slack_ratio,mean_t_slack,peak_demand,delta_max_mean,delta_max_max,frac_CB_with_slowdown,frac_CB_with_stall,closest_synthetic_family
adder_n4,adder,4,56,98,0.35714285714285715,8.142857142857142,2,0.0,0.0,0.0,0.008928571428571428,low_compressibility
adder_n6,adder,6,84,146,0.35714285714285715,13.285714285714286,2,0.0,0.0,0.0,0.008928571428571428,low_compressibility
adder_n8,adder,8,112,194,0.35714285714285715,18.428571428571427,2,0.0,0.0,0.0,0.008928571428571428,low_compressibility
adder_n12,adder,12,168,290,0.35714285714285715,28.714285714285715,2,0.0,0.0,0.0,0.008928571428571428,low_compressibility
adder_n16,adder,16,224,386,0.35714285714285715,39.0,2,0.0,0.0,0.0,0.008928571428571428,low_compressibility
multiplier_n4,multiplier,4,978,1381,0.34662576687116564,11.243353783231084,4,1.0,5.0,0.0,0.30357142857142855,low_compressibility
multiplier_n5,multiplier,5,1549,2181,0.34796642995480953,14.408005164622336,5,1.7142857142857142,7.0,0.0,0.44642857142857145,low_compressibility
multiplier_n6,multiplier,6,2228,3154,0.34515260323159785,17.484739676840217,6,2.5714285714285716,9.0,0.0,0.48214285714285715,low_compressibility
multiplier_n7,multiplier,7,3015,4258,0.34759535655058044,20.528358208955225,7,3.7142857142857144,11.0,0.0,0.625,low_compressibility
multiplier_n8,multiplier,8,3910,5540,0.3462915601023018,23.526598465473146,8,5.0,13.0,0.0,0.7678571428571429,low_compressibility
multiplier_n12,multiplier,12,8750,12385,0.34868571428571427,36.37302857142857,12,12.0,21.0,0.0,1.0,low_compressibility
multiplier_n16,multiplier,16,15316,21703,0.3493079132932881,48.18914860276835,16,20.0,29.0,0.0,1.0,low_compressibility
