workload_family,workload_name,instance_id,size_n,T_count,T_depth,trace_length,peak_T_demand,slack_ratio,mean_t_slack,mean_delta_max,max_delta_max,mean_peak_demand,frac_CB_with_slowdown,frac_CB_with_stall,grid_type,synthesis_precision,variant,evaluated,skip_reason,modulus,multiplier_constant,qaoa_p,graph_type,graph_seed,graph_edges
ripple_adder,Ripple adder,adder_n4,4,56,98,98,2,0.3571428571428571,8.142857142857142,0.0,0.0,2.0,0.0,0.0089285714285714,full,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg,ripple_carry,1,,,,,,,
ripple_adder,Ripple adder,adder_n6,6,84,146,146,2,0.3571428571428571,13.285714285714286,0.0,0.0,2.0,0.0,0.0089285714285714,full,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg,ripple_carry,1,,,,,,,
ripple_adder,Ripple adder,adder_n8,8,112,194,194,2,0.3571428571428571,18.428571428571427,0.0,0.0,2.0,0.0,0.0089285714285714,full,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg,ripple_carry,1,,,,,,,
ripple_adder,Ripple adder,adder_n12,12,168,290,290,2,0.3571428571428571,28.714285714285715,0.0,0.0,2.0,0.0,0.0089285714285714,full,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg,ripple_carry,1,,,,,,,
ripple_adder,Ripple adder,adder_n16,16,224,386,386,2,0.3571428571428571,39.0,0.0,0.0,2.0,0.0,0.0089285714285714,full,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg,ripple_carry,1,,,,,,,
multiplier,Multiplier,multiplier_n4,4,978,1381,1381,4,0.3466257668711656,11.243353783231084,1.0,5.0,4.0,0.0,0.3035714285714285,full,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg,qiskit_multiplier_gate,1,,,,,,,
multiplier,Multiplier,multiplier_n5,5,1549,2181,2181,5,0.3479664299548095,14.408005164622336,1.7142857142857142,7.0,5.0,0.0,0.4464285714285714,full,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg,qiskit_multiplier_gate,1,,,,,,,
multiplier,Multiplier,multiplier_n6,6,2228,3154,3154,6,0.3451526032315978,17.484739676840217,2.5714285714285716,9.0,6.0,0.0,0.4821428571428571,full,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg,qiskit_multiplier_gate,1,,,,,,,
multiplier,Multiplier,multiplier_n7,7,3015,4258,4258,7,0.3475953565505804,20.528358208955225,3.7142857142857144,11.0,7.0,0.0,0.625,full,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg,qiskit_multiplier_gate,1,,,,,,,
multiplier,Multiplier,multiplier_n8,8,3910,5540,5540,8,0.3462915601023018,23.526598465473143,5.0,13.0,8.0,0.0,0.7678571428571429,full,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg,qiskit_multiplier_gate,1,,,,,,,
multiplier,Multiplier,multiplier_n12,12,8750,12385,12385,12,0.3486857142857142,36.37302857142857,12.0,21.0,12.0,0.0,1.0,full,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg,qiskit_multiplier_gate,1,,,,,,,
multiplier,Multiplier,multiplier_n16,16,15316,21703,21703,16,0.3493079132932881,48.18914860276835,20.0,29.0,16.0,0.0,1.0,full,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg,qiskit_multiplier_gate,1,,,,,,,
exact_qft,Exact QFT,qft_n8,8,821077,549736,549736,6,0.6318274656335521,6902.8326198395525,43395.857142857145,303771.0,6.0,0.2053571428571428,0.4642857142857143,full,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg,synth_qft_full,1,,,,,,,
cla_adder,CLA adder,cla_adder_n4,4,98,65,65,8,0.6938775510204082,8.561224489795919,6.428571428571429,36.0,8.0,0.1696428571428571,0.4464285714285714,full,qiskit_transpile_optimization_level_1_seed_42_basis_h_s_sdg_cx_t_tdg,kogge_stone_parallel_prefix,1,,,,,,,
