workload_scope,workload_name,policy,variant_id,trace_length,C_nominal,B,routing_alpha,C_effective,feasible,feasible_reason,delta_max_nominal,delta_max_proxy,T_exe_proxy,slowdown_proxy,stall_cycles_proxy
real,adder_n8,smoothed,adder_n8:smoothed,194,3,0,1.0,3,1,feasible,0,0,194.0,1.0,0.0
real,adder_n8,smoothed,adder_n8:smoothed,194,3,0,1.25,2,1,feasible,0,0,194.0,1.0,0.0
real,adder_n8,smoothed,adder_n8:smoothed,194,3,0,1.5,2,1,feasible,0,0,194.0,1.0,0.0
real,adder_n8,smoothed,adder_n8:smoothed,194,3,8,1.0,3,1,feasible,0,0,194.0,1.0,0.0
real,adder_n8,smoothed,adder_n8:smoothed,194,3,8,1.25,2,1,feasible,0,0,194.0,1.0,0.0
real,adder_n8,smoothed,adder_n8:smoothed,194,3,8,1.5,2,1,feasible,0,0,194.0,1.0,0.0
real,adder_n8,smoothed,adder_n8:smoothed,194,5,0,1.0,5,1,feasible,0,0,194.0,1.0,0.0
real,adder_n8,smoothed,adder_n8:smoothed,194,5,0,1.25,4,1,feasible,0,0,194.0,1.0,0.0
real,adder_n8,smoothed,adder_n8:smoothed,194,5,0,1.5,3,1,feasible,0,0,194.0,1.0,0.0
real,adder_n8,smoothed,adder_n8:smoothed,194,5,8,1.0,5,1,feasible,0,0,194.0,1.0,0.0
real,adder_n8,smoothed,adder_n8:smoothed,194,5,8,1.25,4,1,feasible,0,0,194.0,1.0,0.0
real,adder_n8,smoothed,adder_n8:smoothed,194,5,8,1.5,3,1,feasible,0,0,194.0,1.0,0.0
real,adder_n8,smoothed,adder_n8:smoothed,194,7,0,1.0,7,1,feasible,0,0,194.0,1.0,0.0
real,adder_n8,smoothed,adder_n8:smoothed,194,7,0,1.25,5,1,feasible,0,0,194.0,1.0,0.0
real,adder_n8,smoothed,adder_n8:smoothed,194,7,0,1.5,4,1,feasible,0,0,194.0,1.0,0.0
real,adder_n8,smoothed,adder_n8:smoothed,194,7,8,1.0,7,1,feasible,0,0,194.0,1.0,0.0
real,adder_n8,smoothed,adder_n8:smoothed,194,7,8,1.25,5,1,feasible,0,0,194.0,1.0,0.0
real,adder_n8,smoothed,adder_n8:smoothed,194,7,8,1.5,4,1,feasible,0,0,194.0,1.0,0.0
real,adder_n8,static_min,adder_n8:static_min,194,3,0,1.0,3,1,feasible,0,0,194.0,1.0,0.0
real,adder_n8,static_min,adder_n8:static_min,194,3,0,1.25,2,1,feasible,0,0,194.0,1.0,0.0
real,adder_n8,static_min,adder_n8:static_min,194,3,0,1.5,2,1,feasible,0,0,194.0,1.0,0.0
real,adder_n8,static_min,adder_n8:static_min,194,3,8,1.0,3,1,feasible,0,0,194.0,1.0,0.0
real,adder_n8,static_min,adder_n8:static_min,194,3,8,1.25,2,1,feasible,0,0,194.0,1.0,0.0
real,adder_n8,static_min,adder_n8:static_min,194,3,8,1.5,2,1,feasible,0,0,194.0,1.0,0.0
real,adder_n8,static_min,adder_n8:static_min,194,5,0,1.0,5,1,feasible,0,0,194.0,1.0,0.0
real,adder_n8,static_min,adder_n8:static_min,194,5,0,1.25,4,1,feasible,0,0,194.0,1.0,0.0
real,adder_n8,static_min,adder_n8:static_min,194,5,0,1.5,3,1,feasible,0,0,194.0,1.0,0.0
real,adder_n8,static_min,adder_n8:static_min,194,5,8,1.0,5,1,feasible,0,0,194.0,1.0,0.0
real,adder_n8,static_min,adder_n8:static_min,194,5,8,1.25,4,1,feasible,0,0,194.0,1.0,0.0
real,adder_n8,static_min,adder_n8:static_min,194,5,8,1.5,3,1,feasible,0,0,194.0,1.0,0.0
real,adder_n8,static_min,adder_n8:static_min,194,7,0,1.0,7,1,feasible,0,0,194.0,1.0,0.0
real,adder_n8,static_min,adder_n8:static_min,194,7,0,1.25,5,1,feasible,0,0,194.0,1.0,0.0
real,adder_n8,static_min,adder_n8:static_min,194,7,0,1.5,4,1,feasible,0,0,194.0,1.0,0.0
real,adder_n8,static_min,adder_n8:static_min,194,7,8,1.0,7,1,feasible,0,0,194.0,1.0,0.0
real,adder_n8,static_min,adder_n8:static_min,194,7,8,1.25,5,1,feasible,0,0,194.0,1.0,0.0
real,adder_n8,static_min,adder_n8:static_min,194,7,8,1.5,4,1,feasible,0,0,194.0,1.0,0.0
real,multiplier_n8,smoothed,multiplier_n8:smoothed,5540,3,0,1.0,3,1,feasible,0,0,5540.0,1.0,0.0
real,multiplier_n8,smoothed,multiplier_n8:smoothed,5540,3,0,1.25,2,1,feasible,0,0,5540.0,1.0,0.0
real,multiplier_n8,smoothed,multiplier_n8:smoothed,5540,3,0,1.5,2,1,feasible,0,0,5540.0,1.0,0.0
real,multiplier_n8,smoothed,multiplier_n8:smoothed,5540,3,8,1.0,3,1,feasible,0,0,5540.0,1.0,0.0
real,multiplier_n8,smoothed,multiplier_n8:smoothed,5540,3,8,1.25,2,1,feasible,0,0,5540.0,1.0,0.0
real,multiplier_n8,smoothed,multiplier_n8:smoothed,5540,3,8,1.5,2,1,feasible,0,0,5540.0,1.0,0.0
real,multiplier_n8,smoothed,multiplier_n8:smoothed,5540,5,0,1.0,5,1,feasible,0,0,5540.0,1.0,0.0
real,multiplier_n8,smoothed,multiplier_n8:smoothed,5540,5,0,1.25,4,1,feasible,0,0,5540.0,1.0,0.0
real,multiplier_n8,smoothed,multiplier_n8:smoothed,5540,5,0,1.5,3,1,feasible,0,0,5540.0,1.0,0.0
real,multiplier_n8,smoothed,multiplier_n8:smoothed,5540,5,8,1.0,5,1,feasible,0,0,5540.0,1.0,0.0
real,multiplier_n8,smoothed,multiplier_n8:smoothed,5540,5,8,1.25,4,1,feasible,0,0,5540.0,1.0,0.0
real,multiplier_n8,smoothed,multiplier_n8:smoothed,5540,5,8,1.5,3,1,feasible,0,0,5540.0,1.0,0.0
real,multiplier_n8,smoothed,multiplier_n8:smoothed,5540,7,0,1.0,7,1,feasible,0,0,5540.0,1.0,0.0
real,multiplier_n8,smoothed,multiplier_n8:smoothed,5540,7,0,1.25,5,1,feasible,0,0,5540.0,1.0,0.0
real,multiplier_n8,smoothed,multiplier_n8:smoothed,5540,7,0,1.5,4,1,feasible,0,0,5540.0,1.0,0.0
real,multiplier_n8,smoothed,multiplier_n8:smoothed,5540,7,8,1.0,7,1,feasible,0,0,5540.0,1.0,0.0
real,multiplier_n8,smoothed,multiplier_n8:smoothed,5540,7,8,1.25,5,1,feasible,0,0,5540.0,1.0,0.0
real,multiplier_n8,smoothed,multiplier_n8:smoothed,5540,7,8,1.5,4,1,feasible,0,0,5540.0,1.0,0.0
real,multiplier_n8,static_min,multiplier_n8:static_min,5540,3,0,1.0,3,0,peak_demand_exceeds_reachable_stock,7,7,inf,inf,inf
real,multiplier_n8,static_min,multiplier_n8:static_min,5540,3,0,1.25,2,0,peak_demand_exceeds_reachable_stock,7,10,inf,inf,inf
real,multiplier_n8,static_min,multiplier_n8:static_min,5540,3,0,1.5,2,0,peak_demand_exceeds_reachable_stock,7,10,inf,inf,inf
real,multiplier_n8,static_min,multiplier_n8:static_min,5540,3,8,1.0,3,1,feasible,7,7,5543.0,1.0005415162454874,3.0
real,multiplier_n8,static_min,multiplier_n8:static_min,5540,3,8,1.25,2,1,feasible,7,10,5545.0,1.0009025270758123,5.0
real,multiplier_n8,static_min,multiplier_n8:static_min,5540,3,8,1.5,2,1,feasible,7,10,5545.0,1.0009025270758123,5.0
real,multiplier_n8,static_min,multiplier_n8:static_min,5540,5,0,1.0,5,0,peak_demand_exceeds_reachable_stock,1,1,inf,inf,inf
real,multiplier_n8,static_min,multiplier_n8:static_min,5540,5,0,1.25,4,0,peak_demand_exceeds_reachable_stock,1,4,inf,inf,inf
real,multiplier_n8,static_min,multiplier_n8:static_min,5540,5,0,1.5,3,0,peak_demand_exceeds_reachable_stock,1,7,inf,inf,inf
real,multiplier_n8,static_min,multiplier_n8:static_min,5540,5,8,1.0,5,1,feasible,1,1,5541.0,1.0001805054151625,1.0
real,multiplier_n8,static_min,multiplier_n8:static_min,5540,5,8,1.25,4,1,feasible,1,4,5541.0,1.0001805054151625,1.0
real,multiplier_n8,static_min,multiplier_n8:static_min,5540,5,8,1.5,3,1,feasible,1,7,5543.0,1.0005415162454874,3.0
real,multiplier_n8,static_min,multiplier_n8:static_min,5540,7,0,1.0,7,0,peak_demand_exceeds_reachable_stock,0,0,inf,inf,inf
real,multiplier_n8,static_min,multiplier_n8:static_min,5540,7,0,1.25,5,0,peak_demand_exceeds_reachable_stock,0,1,inf,inf,inf
real,multiplier_n8,static_min,multiplier_n8:static_min,5540,7,0,1.5,4,0,peak_demand_exceeds_reachable_stock,0,4,inf,inf,inf
real,multiplier_n8,static_min,multiplier_n8:static_min,5540,7,8,1.0,7,1,feasible,0,0,5540.0,1.0,0.0
