workload_scope,workload_name,policy,variant_id,trace_length,total_t,peak_demand,mean_demand,delta_max_det,delta_max_expected_service,C,B,p_acc,trials,feasible,feasible_reason,mean_T_exe_stochastic,std_T_exe_stochastic,mean_slowdown_stochastic,mean_stall_cycles_stochastic,frac_runs_with_stall,frac_runs_hitting_cycle_cap,mean_service
real,adder_n8,smoothed,adder_n8:smoothed,194,112,1,0.5773195876288659,0,0.0,1,0,0.95,100,1,feasible,200.12,2.783091805887835,1.0315463917525773,6.12,1.0,0.0,0.9505296388818677
real,adder_n8,smoothed,adder_n8:smoothed,194,112,1,0.5773195876288659,0,0.0,1,0,0.99,100,1,feasible,195.26,0.986103442849685,1.006494845360825,1.26,0.75,0.0,0.9891680314917946
real,adder_n8,smoothed,adder_n8:smoothed,194,112,1,0.5773195876288659,0,0.0,1,0,0.995,100,1,feasible,194.64,0.8187795796183491,1.003298969072165,0.64,0.47,0.0,0.9949836898534037
real,adder_n8,smoothed,adder_n8:smoothed,194,112,1,0.5773195876288659,0,0.0,1,0,0.999,100,1,feasible,194.13,0.3363034344160051,1.0006701030927834,0.13,0.13,0.0,0.9987665873645255
real,adder_n8,smoothed,adder_n8:smoothed,194,112,1,0.5773195876288659,0,0.0,1,0,1.0,100,1,feasible,194.0,0.0,1.0,0.0,0.0,0.0,1.0
real,adder_n8,smoothed,adder_n8:smoothed,194,112,1,0.5773195876288659,0,0.0,1,8,0.95,100,1,feasible,194.0,0.0,1.0,0.0,0.0,0.0,0.949381443298969
real,adder_n8,smoothed,adder_n8:smoothed,194,112,1,0.5773195876288659,0,0.0,1,8,0.99,100,1,feasible,194.0,0.0,1.0,0.0,0.0,0.0,0.9906185567010308
real,adder_n8,smoothed,adder_n8:smoothed,194,112,1,0.5773195876288659,0,0.0,1,8,0.995,100,1,feasible,194.0,0.0,1.0,0.0,0.0,0.0,0.9952061855670102
real,adder_n8,smoothed,adder_n8:smoothed,194,112,1,0.5773195876288659,0,0.0,1,8,0.999,100,1,feasible,194.0,0.0,1.0,0.0,0.0,0.0,0.9989690721649483
real,adder_n8,smoothed,adder_n8:smoothed,194,112,1,0.5773195876288659,0,0.0,1,8,1.0,100,1,feasible,194.0,0.0,1.0,0.0,0.0,0.0,1.0
real,adder_n8,smoothed,adder_n8:smoothed,194,112,1,0.5773195876288659,0,0.0,3,0,0.95,100,1,feasible,194.02,0.13999999999999999,1.0001030927835053,0.02,0.02,0.0,2.845893735130849
real,adder_n8,smoothed,adder_n8:smoothed,194,112,1,0.5773195876288659,0,0.0,3,0,0.99,100,1,feasible,194.0,0.0,1.0,0.0,0.0,0.0,2.9701546391752576
real,adder_n8,smoothed,adder_n8:smoothed,194,112,1,0.5773195876288659,0,0.0,3,0,0.995,100,1,feasible,194.0,0.0,1.0,0.0,0.0,0.0,2.9848969072164944
real,adder_n8,smoothed,adder_n8:smoothed,194,112,1,0.5773195876288659,0,0.0,3,0,0.999,100,1,feasible,194.0,0.0,1.0,0.0,0.0,0.0,2.9969072164948454
real,adder_n8,smoothed,adder_n8:smoothed,194,112,1,0.5773195876288659,0,0.0,3,0,1.0,100,1,feasible,194.0,0.0,1.0,0.0,0.0,0.0,3.0
real,adder_n8,smoothed,adder_n8:smoothed,194,112,1,0.5773195876288659,0,0.0,3,8,0.95,100,1,feasible,194.0,0.0,1.0,0.0,0.0,0.0,2.847319587628866
real,adder_n8,smoothed,adder_n8:smoothed,194,112,1,0.5773195876288659,0,0.0,3,8,0.99,100,1,feasible,194.0,0.0,1.0,0.0,0.0,0.0,2.9706185567010306
real,adder_n8,smoothed,adder_n8:smoothed,194,112,1,0.5773195876288659,0,0.0,3,8,0.995,100,1,feasible,194.0,0.0,1.0,0.0,0.0,0.0,2.985567010309278
real,adder_n8,smoothed,adder_n8:smoothed,194,112,1,0.5773195876288659,0,0.0,3,8,0.999,100,1,feasible,194.0,0.0,1.0,0.0,0.0,0.0,2.996958762886598
real,adder_n8,smoothed,adder_n8:smoothed,194,112,1,0.5773195876288659,0,0.0,3,8,1.0,100,1,feasible,194.0,0.0,1.0,0.0,0.0,0.0,3.0
real,adder_n8,smoothed,adder_n8:smoothed,194,112,1,0.5773195876288659,0,0.0,6,0,0.95,100,1,feasible,194.0,0.0,1.0,0.0,0.0,0.0,5.7015463917525775
real,adder_n8,smoothed,adder_n8:smoothed,194,112,1,0.5773195876288659,0,0.0,6,0,0.99,100,1,feasible,194.0,0.0,1.0,0.0,0.0,0.0,5.935618556701031
real,adder_n8,smoothed,adder_n8:smoothed,194,112,1,0.5773195876288659,0,0.0,6,0,0.995,100,1,feasible,194.0,0.0,1.0,0.0,0.0,0.0,5.971494845360826
real,adder_n8,smoothed,adder_n8:smoothed,194,112,1,0.5773195876288659,0,0.0,6,0,0.999,100,1,feasible,194.0,0.0,1.0,0.0,0.0,0.0,5.993814432989691
real,adder_n8,smoothed,adder_n8:smoothed,194,112,1,0.5773195876288659,0,0.0,6,0,1.0,100,1,feasible,194.0,0.0,1.0,0.0,0.0,0.0,6.0
real,adder_n8,smoothed,adder_n8:smoothed,194,112,1,0.5773195876288659,0,0.0,6,8,0.95,100,1,feasible,194.0,0.0,1.0,0.0,0.0,0.0,5.698247422680413
real,adder_n8,smoothed,adder_n8:smoothed,194,112,1,0.5773195876288659,0,0.0,6,8,0.99,100,1,feasible,194.0,0.0,1.0,0.0,0.0,0.0,5.937938144329897
real,adder_n8,smoothed,adder_n8:smoothed,194,112,1,0.5773195876288659,0,0.0,6,8,0.995,100,1,feasible,194.0,0.0,1.0,0.0,0.0,0.0,5.972731958762887
real,adder_n8,smoothed,adder_n8:smoothed,194,112,1,0.5773195876288659,0,0.0,6,8,0.999,100,1,feasible,194.0,0.0,1.0,0.0,0.0,0.0,5.994484536082475
real,adder_n8,smoothed,adder_n8:smoothed,194,112,1,0.5773195876288659,0,0.0,6,8,1.0,100,1,feasible,194.0,0.0,1.0,0.0,0.0,0.0,6.0
real,adder_n8,static_min,adder_n8:static_min,194,112,2,0.5773195876288659,0,0.0,1,0,0.95,0,0,peak_demand_exceeds_reachable_stock,inf,inf,inf,inf,1.0,1.0,0.0
real,adder_n8,static_min,adder_n8:static_min,194,112,2,0.5773195876288659,0,0.0,1,0,0.99,0,0,peak_demand_exceeds_reachable_stock,inf,inf,inf,inf,1.0,1.0,0.0
real,adder_n8,static_min,adder_n8:static_min,194,112,2,0.5773195876288659,0,0.0,1,0,0.995,0,0,peak_demand_exceeds_reachable_stock,inf,inf,inf,inf,1.0,1.0,0.0
real,adder_n8,static_min,adder_n8:static_min,194,112,2,0.5773195876288659,0,0.0,1,0,0.999,0,0,peak_demand_exceeds_reachable_stock,inf,inf,inf,inf,1.0,1.0,0.0
real,adder_n8,static_min,adder_n8:static_min,194,112,2,0.5773195876288659,0,0.0,1,0,1.0,0,0,peak_demand_exceeds_reachable_stock,inf,inf,inf,inf,1.0,1.0,0.0
real,adder_n8,static_min,adder_n8:static_min,194,112,2,0.5773195876288659,0,0.0,1,8,0.95,100,1,feasible,194.0,0.0,1.0,0.0,0.0,0.0,0.9492783505154639
real,adder_n8,static_min,adder_n8:static_min,194,112,2,0.5773195876288659,0,0.0,1,8,0.99,100,1,feasible,194.0,0.0,1.0,0.0,0.0,0.0,0.9907731958762886
real,adder_n8,static_min,adder_n8:static_min,194,112,2,0.5773195876288659,0,0.0,1,8,0.995,100,1,feasible,194.0,0.0,1.0,0.0,0.0,0.0,0.9955670103092783
real,adder_n8,static_min,adder_n8:static_min,194,112,2,0.5773195876288659,0,0.0,1,8,0.999,100,1,feasible,194.0,0.0,1.0,0.0,0.0,0.0,0.9989690721649483
real,adder_n8,static_min,adder_n8:static_min,194,112,2,0.5773195876288659,0,0.0,1,8,1.0,100,1,feasible,194.0,0.0,1.0,0.0,0.0,0.0,1.0
real,adder_n8,static_min,adder_n8:static_min,194,112,2,0.5773195876288659,0,0.0,3,0,0.95,100,1,feasible,194.23,0.4659399102888692,1.0011855670103094,0.23,0.21,0.0,2.853270250368189
real,adder_n8,static_min,adder_n8:static_min,194,112,2,0.5773195876288659,0,0.0,3,0,0.99,100,1,feasible,194.02,0.13999999999999999,1.0001030927835053,0.02,0.02,0.0,2.9728902987047308
real,adder_n8,static_min,adder_n8:static_min,194,112,2,0.5773195876288659,0,0.0,3,0,0.995,100,1,feasible,194.0,0.0,1.0,0.0,0.0,0.0,2.9857216494845358
real,adder_n8,static_min,adder_n8:static_min,194,112,2,0.5773195876288659,0,0.0,3,0,0.999,100,1,feasible,194.0,0.0,1.0,0.0,0.0,0.0,2.996958762886598
real,adder_n8,static_min,adder_n8:static_min,194,112,2,0.5773195876288659,0,0.0,3,0,1.0,100,1,feasible,194.0,0.0,1.0,0.0,0.0,0.0,3.0
real,adder_n8,static_min,adder_n8:static_min,194,112,2,0.5773195876288659,0,0.0,3,8,0.95,100,1,feasible,194.0,0.0,1.0,0.0,0.0,0.0,2.8491752577319587
real,adder_n8,static_min,adder_n8:static_min,194,112,2,0.5773195876288659,0,0.0,3,8,0.99,100,1,feasible,194.0,0.0,1.0,0.0,0.0,0.0,2.9686597938144326
real,adder_n8,static_min,adder_n8:static_min,194,112,2,0.5773195876288659,0,0.0,3,8,0.995,100,1,feasible,194.0,0.0,1.0,0.0,0.0,0.0,2.984587628865979
real,adder_n8,static_min,adder_n8:static_min,194,112,2,0.5773195876288659,0,0.0,3,8,0.999,100,1,feasible,194.0,0.0,1.0,0.0,0.0,0.0,2.997474226804124
real,adder_n8,static_min,adder_n8:static_min,194,112,2,0.5773195876288659,0,0.0,3,8,1.0,100,1,feasible,194.0,0.0,1.0,0.0,0.0,0.0,3.0
real,adder_n8,static_min,adder_n8:static_min,194,112,2,0.5773195876288659,0,0.0,6,0,0.95,100,1,feasible,194.0,0.0,1.0,0.0,0.0,0.0,5.707061855670102
real,adder_n8,static_min,adder_n8:static_min,194,112,2,0.5773195876288659,0,0.0,6,0,0.99,100,1,feasible,194.0,0.0,1.0,0.0,0.0,0.0,5.942628865979382
real,adder_n8,static_min,adder_n8:static_min,194,112,2,0.5773195876288659,0,0.0,6,0,0.995,100,1,feasible,194.0,0.0,1.0,0.0,0.0,0.0,5.969639175257734
real,adder_n8,static_min,adder_n8:static_min,194,112,2,0.5773195876288659,0,0.0,6,0,0.999,100,1,feasible,194.0,0.0,1.0,0.0,0.0,0.0,5.9947422680412386
real,adder_n8,static_min,adder_n8:static_min,194,112,2,0.5773195876288659,0,0.0,6,0,1.0,100,1,feasible,194.0,0.0,1.0,0.0,0.0,0.0,6.0
real,adder_n8,static_min,adder_n8:static_min,194,112,2,0.5773195876288659,0,0.0,6,8,0.95,100,1,feasible,194.0,0.0,1.0,0.0,0.0,0.0,5.6922164948453595
real,adder_n8,static_min,adder_n8:static_min,194,112,2,0.5773195876288659,0,0.0,6,8,0.99,100,1,feasible,194.0,0.0,1.0,0.0,0.0,0.0,5.940670103092783
real,adder_n8,static_min,adder_n8:static_min,194,112,2,0.5773195876288659,0,0.0,6,8,0.995,100,1,feasible,194.0,0.0,1.0,0.0,0.0,0.0,5.9695876288659795
real,adder_n8,static_min,adder_n8:static_min,194,112,2,0.5773195876288659,0,0.0,6,8,0.999,100,1,feasible,194.0,0.0,1.0,0.0,0.0,0.0,5.992680412371134
real,adder_n8,static_min,adder_n8:static_min,194,112,2,0.5773195876288659,0,0.0,6,8,1.0,100,1,feasible,194.0,0.0,1.0,0.0,0.0,0.0,6.0
real,multiplier_n8,smoothed,multiplier_n8:smoothed,5540,3910,1,0.7057761732851986,0,1.5,1,0,0.95,100,1,feasible,5745.22,13.130559774815383,1.037043321299639,205.22,1.0,0.0,0.9502922357434216
real,multiplier_n8,smoothed,multiplier_n8:smoothed,5540,3910,1,0.7057761732851986,0,0.0,1,0,0.99,100,1,feasible,5580.06,6.188408519159023,1.007231046931408,40.06,1.0,0.0,0.9898956114251928
real,multiplier_n8,smoothed,multiplier_n8:smoothed,5540,3910,1,0.7057761732851986,0,0.0,1,0,0.995,100,1,feasible,5560.14,4.45874421782636,1.003635379061372,20.14,1.0,0.0,0.9948946303530692
real,multiplier_n8,smoothed,multiplier_n8:smoothed,5540,3910,1,0.7057761732851986,0,0.0,1,0,0.999,100,1,feasible,5544.39,1.9333649422703398,1.0007924187725632,4.39,0.99,0.0,0.9989233480668672
real,multiplier_n8,smoothed,multiplier_n8:smoothed,5540,3910,1,0.7057761732851986,0,0.0,1,0,1.0,100,1,feasible,5540.0,0.0,1.0,0.0,0.0,0.0,1.0
real,multiplier_n8,smoothed,multiplier_n8:smoothed,5540,3910,1,0.7057761732851986,0,1.5,1,8,0.95,100,1,feasible,5541.76,1.7095028517086488,1.000317689530686,1.76,0.71,0.0,0.9503588049366455
