workload_scope,workload_name,policy,variant_id,trace_length,total_t,peak_demand,C,B,p_acc,trial_index,T_static,T_exe,stall_cycles,stall_ratio,max_cycle_hit,mean_service
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,1.0,0,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,1.0,1,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,1.0,2,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,1.0,3,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,1.0,4,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,1.0,5,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,1.0,6,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,1.0,7,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,1.0,8,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,1.0,9,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,1.0,10,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,1.0,11,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,1.0,12,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,1.0,13,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,1.0,14,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,1.0,15,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,1.0,16,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,1.0,17,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,1.0,18,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,1.0,19,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,1.0,20,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,1.0,21,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,1.0,22,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,1.0,23,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,1.0,24,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,1.0,25,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,1.0,26,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,1.0,27,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,1.0,28,8,31,23,0.7419354838709677,0,1.0
synthetic,high_compressibility_seed7,static_min,high_compressibility_seed7:static_min,8,29,6,1,8,1.0,29,8,31,23,0.7419354838709677,0,1.0
